Omega,A_alpha_0.0100000000,A_alpha_0.1000000000,A_alpha_0.5000000000,A_alpha_1.0000000000,A_analytic_alpha_1.0
0.1000000000,1.0101251930,1.0100494678,1.0088152060,1.0049870296,1.0049870596
0.1100000000,1.0129902161,1.0121854515,1.0106830633,1.0060309137,1.0060309175
0.1200000000,1.0141361608,1.0145351914,1.0127355424,1.0071727193,1.0071727613
0.1300000000,1.0181750784,1.0171015828,1.0149744540,1.0084121379,1.0084121636
0.1400000000,1.0204406188,1.0198878589,1.0174018091,1.0097486370,1.0097486434
0.1500000000,1.0230611028,1.0228974635,1.0200199080,1.0111816460,1.0111816618
0.1600000000,1.0273461883,1.0261341863,1.0228310042,1.0127105437,1.0127106169
0.1700000000,1.0290467754,1.0296023062,1.0258378454,1.0143347705,1.0143348389
0.1800000000,1.0339814938,1.0333061261,1.0290430674,1.0160535073,1.0160535847
0.1900000000,1.0380043704,1.0372504893,1.0324496322,1.0178660186,1.0178660315
0.2000000000,1.0401266204,1.0414406124,1.0360607851,1.0197712685,1.0197712706
0.2100000000,1.0448135385,1.0458820578,1.0398798454,1.0217681650,1.0217683002
0.2200000000,1.0524352164,1.0505808583,1.0439103873,1.0238560136,1.0238560182
0.2300000000,1.0569347489,1.0555435085,1.0481561806,1.0260332086,1.0260332139
0.2400000000,1.0592494325,1.0607765657,1.0526212160,1.0282984688,1.0282985598
0.2500000000,1.0667141663,1.0662875093,1.0573097578,1.0306504014,1.0306506022
0.2600000000,1.0740619752,1.0720842829,1.0622262456,1.0330875430,1.0330877520
0.2700000000,1.0783825356,1.0781751622,1.0673752220,1.0356081590,1.0356082742
0.2800000000,1.0846436184,1.0845689410,1.0727621584,1.0382102283,1.0382102773
0.2900000000,1.0913681180,1.0912751275,1.0783918042,1.0408916622,1.0408917020
0.3000000000,1.0988937689,1.0983043118,1.0842695982,1.0436501552,1.0436503097
0.3100000000,1.1080318086,1.1056669243,1.0904014319,1.0464835564,1.0464836692
0.3200000000,1.1136330618,1.1133744149,1.0967931041,1.0493890021,1.0493891445
0.3300000000,1.1199743503,1.1214397779,1.1034511620,1.0523635432,1.0523638811
0.3400000000,1.1325823097,1.1298754100,1.1103824017,1.0554045028,1.0554047917
0.3500000000,1.1418125810,1.1386957139,1.1175929038,1.0585085417,1.0585085418
0.3600000000,1.1484613937,1.1479155736,1.1250901941,1.0616712350,1.0616715347
0.3700000000,1.1573377629,1.1575508162,1.1328820403,1.0648896821,1.0648898960
0.3800000000,1.1697376980,1.1676189616,1.1409762018,1.0681594411,1.0681594582
0.3900000000,1.1783898886,1.1781387639,1.1493798574,1.0714753156,1.0714757440
0.4000000000,1.1881631617,1.1891282031,1.1581022787,1.0748339445,1.0748339510
0.4100000000,1.1994466557,1.2006101556,1.1671522888,1.0782285589,1.0782289344
0.4200000000,1.2177444953,1.2126058337,1.1765377416,1.0816551685,1.0816551918
0.4300000000,1.2303616673,1.2251396880,1.1862691179,1.0851064676,1.0851068462
0.4400000000,1.2374970928,1.2382372138,1.1963558488,1.0885771586,1.0885776311
0.4500000000,1.2505029049,1.2519265128,1.2068079117,1.0920608193,1.0920608749
