t,x,v,Ekin,Epot,Etot
0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.5000000000,0.5000000000
0.0050000000,0.9999875000,-0.0049999792,0.0000124999,0.4999875001,0.5000000000
0.0100000000,0.9999500004,-0.0099998333,0.0000499983,0.4999500017,0.5000000000
0.0150000000,0.9998875021,-0.0149994375,0.0001124916,0.4998875084,0.5000000000
0.0200000000,0.9998000067,-0.0199986667,0.0001999733,0.4998000267,0.5000000000
0.0250000000,0.9996875163,-0.0249973959,0.0003124349,0.4996875651,0.5000000000
0.0300000000,0.9995500337,-0.0299955002,0.0004498650,0.4995501350,0.5000000000
0.0350000000,0.9993875625,-0.0349928546,0.0006122499,0.4993877501,0.5000000000
0.0400000000,0.9992001067,-0.0399893342,0.0007995734,0.4992004266,0.5000000000
0.0450000000,0.9989876708,-0.0449848140,0.0010118167,0.4989881833,0.5000000000
0.0500000000,0.9987502604,-0.0499791693,0.0012489587,0.4987510413,0.5000000000
0.0550000000,0.9984878812,-0.0549722750,0.0015109755,0.4984890245,0.5000000000
0.0600000000,0.9982005399,-0.0599640065,0.0017978410,0.4982021590,0.5000000000
0.0650000000,0.9978882437,-0.0649542388,0.0021095266,0.4978904734,0.5000000000
0.0700000000,0.9975510003,-0.0699428473,0.0024460009,0.4975539991,0.5000000000
0.0750000000,0.9971888181,-0.0749297073,0.0028072305,0.4971927695,0.5000000000
0.0800000000,0.9968017063,-0.0799146940,0.0031931792,0.4968068208,0.5000000000
0.0850000000,0.9963896745,-0.0848976828,0.0036038083,0.4963961917,0.5000000000
0.0900000000,0.9959527330,-0.0898785492,0.0040390768,0.4959609232,0.5000000000
0.0950000000,0.9954908928,-0.0948571686,0.0044989412,0.4955010588,0.5000000000
0.1000000000,0.9950041653,-0.0998334166,0.0049833555,0.4950166445,0.5000000000
0.1050000000,0.9944925627,-0.1048071688,0.0054922713,0.4945077287,0.5000000000
0.1100000000,0.9939560980,-0.1097783008,0.0060256377,0.4939743623,0.5000000000
0.1150000000,0.9933947843,-0.1147466884,0.0065834012,0.4934165988,0.5000000000
0.1200000000,0.9928086359,-0.1197122073,0.0071655063,0.4928344937,0.5000000000
0.1250000000,0.9921976672,-0.1246747334,0.0077718946,0.4922281054,0.5000000000
0.1300000000,0.9915618937,-0.1296341426,0.0084025055,0.4915974945,0.5000000000
0.1350000000,0.9909013312,-0.1345903110,0.0090572759,0.4909427241,0.5000000000
0.1400000000,0.9902159962,-0.1395431146,0.0097361404,0.4902638596,0.5000000000
0.1450000000,0.9895059059,-0.1444924297,0.0104390311,0.4895609689,0.5000000000
0.1500000000,0.9887710779,-0.1494381325,0.0111658777,0.4888341223,0.5000000000
0.1550000000,0.9880115308,-0.1543800993,0.0119166075,0.4880833925,0.5000000000
0.1600000000,0.9872272834,-0.1593182066,0.0126911455,0.4873088545,0.5000000000
0.1650000000,0.9864183553,-0.1642523310,0.0134894141,0.4865105859,0.5000000000
0.1700000000,0.9855847669,-0.1691823491,0.0143113336,0.4856886664,0.5000000000
0.1750000000,0.9847265389,-0.1741081376,0.0151568218,0.4848431782,0.5000000000
0.1800000000,0.9838436928,-0.1790295734,0.0160257941,0.4839742059,0.5000000000
0.1850000000,0.9829362506,-0.1839465335,0.0169181636,0.4830818364,0.5000000000
0.1900000000,0.9820042351,-0.1888588950,0.0178338411,0.4821661589,0.5000000000
0.1950000000,0.9810476695,-0.1937665350,0.0187727350,0.4812272650,0.5000000000
0.2000000000,0.9800665778,-0.1986693308,0.0197347515,0.4802652485,0.5000000000
0.2050000000,0.9790609845,-0.2035671599,0.0207197943,0.4792802057,0.5000000000
0.2100000000,0.9780309147,-0.2084598998,0.0217277649,0.4782722351,0.5000000000
0.2150000000,0.9769763942,-0.2133474283,0.0227585626,0.4772414374,0.5000000000
0.2200000000,0.9758974493,-0.2182296231,0.0238120842,0.4761879158,0.5000000000
0.2250000000,0.9747941071,-0.2231063621,0.0248882244,0.4751117756,0.5000000000
0.2300000000,0.9736663950,-0.2279775235,0.0259868756,0.4740131244,0.5000000000
0.2350000000,0.9725143413,-0.2328429855,0.0271079280,0.4728920720,0.5000000000
0.2400000000,0.9713379749,-0.2377026264,0.0282512693,0.4717487307,0.5000000000
0.2450000000,0.9701373250,-0.2425563248,0.0294167853,0.4705832147,0.5000000000
0.2500000000,0.9689124217,-0.2474039593,0.0306043595,0.4693956405,0.5000000000
0.2550000000,0.9676632957,-0.2522454086,0.0318138731,0.4681861269,0.5000000000
0.2600000000,0.9663899781,-0.2570805519,0.0330452051,0.4669547949,0.5000000000
0.2650000000,0.9650925009,-0.2619092681,0.0342982324,0.4657017676,0.5000000000
0.2700000000,0.9637708964,-0.2667314367,0.0355728297,0.4644271703,0.5000000000
0.2750000000,0.9624251976,-0.2715469370,0.0368688695,0.4631311305,0.5000000000
0.2800000000,0.9610554383,-0.2763556486,0.0381862222,0.4618137778,0.5000000000
0.2850000000,0.9596616527,-0.2811574513,0.0395247562,0.4604752438,0.5000000000
0.2900000000,0.9582438755,-0.2859522251,0.0408843375,0.4591156625,0.5000000000
0.2950000000,0.9568021423,-0.2907398501,0.0422648302,0.4577351698,0.5000000000
0.3000000000,0.9553364891,-0.2955202067,0.0436660963,0.4563339037,0.5000000000
0.3050000000,0.9538469526,-0.3002931752,0.0450879955,0.4549120045,0.5000000000
0.3100000000,0.9523335699,-0.3050586364,0.0465303858,0.4534696142,0.5000000000
0.3150000000,0.9507963789,-0.3098164712,0.0479931229,0.4520068771,0.5000000000
0.3200000000,0.9492354181,-0.3145665606,0.0494760605,0.4505239395,0.5000000000
0.3250000000,0.9476507264,-0.3193087859,0.0509790504,0.4490209496,0.5000000000
0.3300000000,0.9460423435,-0.3240430284,0.0525019421,0.4474980579,0.5000000000
0.3350000000,0.9444103096,-0.3287691699,0.0540445835,0.4459554165,0.5000000000
0.3400000000,0.9427546655,-0.3334870921,0.0556068203,0.4443931797,0.5000000000
0.3450000000,0.9410754526,-0.3381966772,0.0571884963,0.4428115037,0.5000000000
0.3500000000,0.9393727128,-0.3428978075,0.0587894532,0.4412105468,0.5000000000
0.3550000000,0.9376464888,-0.3475903652,0.0604095310,0.4395904690,0.5000000000
0.3600000000,0.9358968237,-0.3522742333,0.0620485677,0.4379514323,0.5000000000
0.3650000000,0.9341237612,-0.3569492945,0.0637063994,0.4362936006,0.5000000000
0.3700000000,0.9323273456,-0.3616154320,0.0653828603,0.4346171397,0.5000000000
0.3750000000,0.9305076219,-0.3662725291,0.0670777828,0.4329222172,0.5000000000
0.3800000000,0.9286646356,-0.3709204694,0.0687909973,0.4312090027,0.5000000000
0.3850000000,0.9267984327,-0.3755591367,0.0705223326,0.4294776674,0.5000000000
0.3900000000,0.9249090599,-0.3801884151,0.0722716155,0.4277283845,0.5000000000
0.3950000000,0.9229965644,-0.3848081888,0.0740386711,0.4259613289,0.5000000000
0.4000000000,0.9210609940,-0.3894183423,0.0758233227,0.4241766773,0.5000000000
0.4050000000,0.9191023972,-0.3940187604,0.0776253918,0.4223746082,0.5000000000
0.4100000000,0.9171208228,-0.3986093280,0.0794446982,0.4205553018,0.5000000000
0.4150000000,0.9151163205,-0.4031899304,0.0812810600,0.4187189400,0.5000000000
0.4200000000,0.9130889403,-0.4077604531,0.0831342935,0.4168657065,0.5000000000
0.4250000000,0.9110387330,-0.4123207817,0.0850042135,0.4149957865,0.5000000000
0.4300000000,0.9089657497,-0.4168708024,0.0868906330,0.4131093670,0.5000000000
0.4350000000,0.9068700423,-0.4214104014,0.0887933632,0.4112066368,0.5000000000
0.4400000000,0.9047516632,-0.4259394651,0.0907122139,0.4092877861,0.5000000000
0.4450000000,0.9026106654,-0.4304578803,0.0926469934,0.4073530066,0.5000000000
0.4500000000,0.9004471024,-0.4349655341,0.0945975079,0.4054024921,0.5000000000
0.4550000000,0.8982610282,-0.4394623138,0.0965635626,0.4034364374,0.5000000000
0.4600000000,0.8960524975,-0.4439481070,0.0985449608,0.4014550392,0.5000000000
0.4650000000,0.8938215656,-0.4484228014,0.1005415044,0.3994584956,0.5000000000
0.4700000000,0.8915682882,-0.4528862854,0.1025529937,0.3974470063,0.5000000000
0.4750000000,0.8892927216,-0.4573384472,0.1045792276,0.3954207724,0.5000000000
0.4800000000,0.8869949228,-0.4617791755,0.1066200035,0.3933799965,0.5000000000
0.4850000000,0.8846749491,-0.4662083594,0.1086751172,0.3913248828,0.5000000000
0.4900000000,0.8823328586,-0.4706258882,0.1107443633,0.3892556367,0.5000000000
0.4950000000,0.8799687098,-0.4750316513,0.1128275349,0.3871724651,0.5000000000
0.5000000000,0.8775825619,-0.4794255386,0.1149244235,0.3850755765,0.5000000000
0.5050000000,0.8751744744,-0.4838074403,0.1170348197,0.3829651803,0.5000000000
0.5100000000,0.8727445076,-0.4881772469,0.1191585122,0.3808414878,0.5000000000
0.5150000000,0.8702927223,-0.4925348490,0.1212952888,0.3787047112,0.5000000000
0.5200000000,0.8678191797,-0.4968801378,0.1234449357,0.3765550643,0.5000000000
0.5250000000,0.8653239416,-0.5012130047,0.1256072380,0.3743927620,0.5000000000
0.5300000000,0.8628070705,-0.5055333412,0.1277819795,0.3722180205,0.5000000000
0.5350000000,0.8602686293,-0.5098410394,0.1299689427,0.3700310573,0.5000000000
0.5400000000,0.8577086814,-0.5141359917,0.1321679090,0.3678320910,0.5000000000
0.5450000000,0.8551272908,-0.5184180905,0.1343786583,0.3656213417,0.5000000000
0.5500000000,0.8525245221,-0.5226872289,0.1366009696,0.3633990304,0.5000000000
0.5550000000,0.8499004403,-0.5269433002,0.1388346208,0.3611653792,0.5000000000
0.5600000000,0.8472551110,-0.5311861979,0.1410793884,0.3589206116,0.5000000000
0.5650000000,0.8445886004,-0.5354158160,0.1433350480,0.3566649520,0.5000000000
0.5700000000,0.8419009752,-0.5396320487,0.1456013740,0.3543986260,0.5000000000
0.5750000000,0.8391923024,-0.5438347907,0.1478781398,0.3521218602,0.5000000000
0.5800000000,0.8364626499,-0.5480239368,0.1501651176,0.3498348824,0.5000000000
0.5850000000,0.8337120859,-0.5521993823,0.1524620789,0.3475379211,0.5000000000
0.5900000000,0.8309406791,-0.5563610229,0.1547687939,0.3452312061,0.5000000000
0.5950000000,0.8281484988,-0.5605087545,0.1570850319,0.3429149681,0.5000000000
0.6000000000,0.8253356149,-0.5646424734,0.1594105614,0.3405894386,0.5000000000
0.6050000000,0.8225020976,-0.5687620763,0.1617451497,0.3382548503,0.5000000000
0.6100000000,0.8196480178,-0.5728674601,0.1640885634,0.3359114366,0.5000000000
0.6150000000,0.8167734469,-0.5769585223,0.1664405682,0.3335594318,0.5000000000
0.6200000000,0.8138784567,-0.5810351605,0.1688009289,0.3311990711,0.5000000000
0.6250000000,0.8109631195,-0.5850972729,0.1711694094,0.3288305906,0.5000000000
0.6300000000,0.8080275083,-0.5891447579,0.1735457729,0.3264542271,0.5000000000
0.6350000000,0.8050716965,-0.5931775144,0.1759297818,0.3240702182,0.5000000000
0.6400000000,0.8020957579,-0.5971954414,0.1783211976,0.3216788024,0.5000000000
0.6450000000,0.7990997669,-0.6011984385,0.1807197812,0.3192802188,0.5000000000
0.6500000000,0.7960837986,-0.6051864057,0.1831252928,0.3168747072,0.5000000000
0.6550000000,0.7930479281,-0.6091592433,0.1855374919,0.3144625081,0.5000000000
0.6600000000,0.7899922315,-0.6131168520,0.1879561371,0.3120438629,0.5000000000
0.6650000000,0.7869167851,-0.6170591327,0.1903809866,0.3096190134,0.5000000000
0.6700000000,0.7838216659,-0.6209859870,0.1928117980,0.3071882020,0.5000000000
0.6750000000,0.7807069511,-0.6248973167,0.1952483282,0.3047516718,0.5000000000
0.6800000000,0.7775727188,-0.6287930240,0.1976903335,0.3023096665,0.5000000000
0.6850000000,0.7744190471,-0.6326730115,0.2001375697,0.2998624303,0.5000000000
0.6900000000,0.7712460150,-0.6365371822,0.2025897922,0.2974102078,0.5000000000
0.6950000000,0.7680537018,-0.6403854395,0.2050467556,0.2949532444,0.5000000000
0.7000000000,0.7648421873,-0.6442176872,0.2075082143,0.2924917857,0.5000000000
0.7050000000,0.7616115518,-0.6480338295,0.2099739221,0.2900260779,0.5000000000
0.7100000000,0.7583618760,-0.6518337710,0.2124436325,0.2875563675,0.5000000000
0.7150000000,0.7550932412,-0.6556174167,0.2149170985,0.2850829015,0.5000000000
0.7200000000,0.7518057291,-0.6593846720,0.2173940728,0.2826059272,0.5000000000
0.7250000000,0.7484994220,-0.6631354427,0.2198743077,0.2801256923,0.5000000000
0.7300000000,0.7451744023,-0.6668696350,0.2223575550,0.2776424450,0.5000000000
0.7350000000,0.7418307534,-0.6705871556,0.2248435667,0.2751564333,0.5000000000
0.7400000000,0.7384685587,-0.6742879116,0.2273320939,0.2726679061,0.5000000000
0.7450000000,0.7350879024,-0.6779718105,0.2298228879,0.2701771121,0.5000000000
0.7500000000,0.7316888689,-0.6816387600,0.2323156996,0.2676843004,0.5000000000
0.7550000000,0.7282715432,-0.6852886687,0.2348102797,0.2651897203,0.5000000000
0.7600000000,0.7248360107,-0.6889214451,0.2373063788,0.2626936212,0.5000000000
0.7650000000,0.7213823574,-0.6925369986,0.2398037472,0.2601962528,0.5000000000
0.7700000000,0.7179106696,-0.6961352386,0.2423021352,0.2576978648,0.5000000000
0.7750000000,0.7144210341,-0.6997160753,0.2448012930,0.2551987070,0.5000000000
0.7800000000,0.7109135380,-0.7032794192,0.2473009707,0.2526990293,0.5000000000
0.7850000000,0.7073882692,-0.7068251811,0.2498009183,0.2501990817,0.5000000000
0.7900000000,0.7038453157,-0.7103532724,0.2523008858,0.2476991142,0.5000000000
0.7950000000,0.7002847660,-0.7138636049,0.2548006232,0.2451993768,0.5000000000
0.8000000000,0.6967067094,-0.7173560909,0.2572998806,0.2427001194,0.5000000000
0.8050000000,0.6931112350,-0.7208306430,0.2597984079,0.2402015921,0.5000000000
0.8100000000,0.6894984330,-0.7242871744,0.2622959555,0.2377040445,0.5000000000
0.8150000000,0.6858683935,-0.7277255986,0.2647922734,0.2352077266,0.5000000000
0.8200000000,0.6822212073,-0.7311458297,0.2672871122,0.2327128878,0.5000000000
0.8250000000,0.6785569656,-0.7345477822,0.2697802222,0.2302197778,0.5000000000
0.8300000000,0.6748757601,-0.7379313711,0.2722713542,0.2277286458,0.5000000000
0.8350000000,0.6711776827,-0.7412965117,0.2747602591,0.2252397409,0.5000000000
0.8400000000,0.6674628258,-0.7446431200,0.2772466881,0.2227533119,0.5000000000
0.8450000000,0.6637312825,-0.7479711122,0.2797303923,0.2202696077,0.5000000000
0.8500000000,0.6599831459,-0.7512804051,0.2822111236,0.2177888764,0.5000000000
0.8550000000,0.6562185097,-0.7545709161,0.2846886337,0.2153113663,0.5000000000
0.8600000000,0.6524374682,-0.7578425629,0.2871626751,0.2128373249,0.5000000000
0.8650000000,0.6486401157,-0.7610952636,0.2896330002,0.2103669998,0.5000000000
0.8700000000,0.6448265472,-0.7643289370,0.2920993620,0.2079006380,0.5000000000
0.8750000000,0.6409968582,-0.7675435022,0.2945615139,0.2054384861,0.5000000000
0.8800000000,0.6371511442,-0.7707388789,0.2970192097,0.2029807903,0.5000000000
0.8850000000,0.6332895015,-0.7739149871,0.2994722037,0.2005277963,0.5000000000
0.8900000000,0.6294120266,-0.7770717475,0.3019202504,0.1980797496,0.5000000000
0.8950000000,0.6255188164,-0.7802090812,0.3043631052,0.1956368948,0.5000000000
0.9000000000,0.6216099683,-0.7833269096,0.3068005237,0.1931994763,0.5000000000
0.9050000000,0.6176855799,-0.7864251549,0.3092322622,0.1907677378,0.5000000000
0.9100000000,0.6137457495,-0.7895037397,0.3116580775,0.1883419225,0.5000000000
0.9150000000,0.6097905754,-0.7925625869,0.3140777271,0.1859222729,0.5000000000
0.9200000000,0.6058201566,-0.7956016200,0.3164909689,0.1835090311,0.5000000000
0.9250000000,0.6018345924,-0.7986207632,0.3188975617,0.1811024383,0.5000000000
0.9300000000,0.5978339823,-0.8016199409,0.3212972648,0.1787027352,0.5000000000
0.9350000000,0.5938184264,-0.8045990781,0.3236898382,0.1763101618,0.5000000000
0.9400000000,0.5897880250,-0.8075581004,0.3260750428,0.1739249572,0.5000000000
0.9450000000,0.5857428790,-0.8104969338,0.3284526398,0.1715473602,0.5000000000
0.9500000000,0.5816830895,-0.8134155048,0.3308223917,0.1691776083,0.5000000000
0.9550000000,0.5776087579,-0.8163137404,0.3331840614,0.1668159386,0.5000000000
0.9600000000,0.5735199861,-0.8191915683,0.3355374128,0.1644625872,0.5000000000
0.9650000000,0.5694168763,-0.8220489164,0.3378822105,0.1621177895,0.5000000000
0.9700000000,0.5652995312,-0.8248857133,0.3402182200,0.1597817800,0.5000000000
0.9750000000,0.5611680536,-0.8277018882,0.3425452078,0.1574547922,0.5000000000
0.9800000000,0.5570225468,-0.8304973705,0.3448629412,0.1551370588,0.5000000000
0.9850000000,0.5528631145,-0.8332720904,0.3471711883,0.1528288117,0.5000000000
0.9900000000,0.5486898606,-0.8360259786,0.3494697184,0.1505302816,0.5000000000
0.9950000000,0.5445028895,-0.8387589662,0.3517583017,0.1482416983,0.5000000000
1.0000000000,0.5403023059,-0.8414709848,0.3540367091,0.1459632909,0.5000000000
1.0050000000,0.5360882147,-0.8441619667,0.3563047130,0.1436952870,0.5000000000
1.0100000000,0.5318607214,-0.8468318446,0.3585620865,0.1414379135,0.5000000000
1.0150000000,0.5276199316,-0.8494805518,0.3608086039,0.1391913961,0.5000000000
1.0200000000,0.5233659513,-0.8521080219,0.3630440405,0.1369559595,0.5000000000
1.0250000000,0.5190988868,-0.8547141895,0.3652681728,0.1347318272,0.5000000000
1.0300000000,0.5148188450,-0.8572989892,0.3674807784,0.1325192216,0.5000000000
1.0350000000,0.5105259327,-0.8598623565,0.3696816360,0.1303183640,0.5000000000
1.0400000000,0.5062202572,-0.8624042272,0.3718705256,0.1281294744,0.5000000000
1.0450000000,0.5019019263,-0.8649245380,0.3740472282,0.1259527718,0.5000000000
1.0500000000,0.4975710479,-0.8674232256,0.3762115261,0.1237884739,0.5000000000
1.0550000000,0.4932277302,-0.8699002277,0.3783632031,0.1216367969,0.5000000000
1.0600000000,0.4888720819,-0.8723554823,0.3805020438,0.1194979562,0.5000000000
1.0650000000,0.4845042117,-0.8747889281,0.3826278344,0.1173721656,0.5000000000
1.0700000000,0.4801242290,-0.8772005043,0.3847403623,0.1152596377,0.5000000000
1.0750000000,0.4757322432,-0.8795901504,0.3868394164,0.1131605836,0.5000000000
1.0800000000,0.4713283642,-0.8819578069,0.3889247866,0.1110752134,0.5000000000
1.0850000000,0.4669127019,-0.8843034144,0.3909962644,0.1090037356,0.5000000000
1.0900000000,0.4624853669,-0.8866269144,0.3930536427,0.1069463573,0.5000000000
1.0950000000,0.4580464697,-0.8889282488,0.3950967158,0.1049032842,0.5000000000
1.1000000000,0.4535961214,-0.8912073601,0.3971252793,0.1028747207,0.5000000000
1.1050000000,0.4491344333,-0.8934641911,0.3991391304,0.1008608696,0.5000000000
1.1100000000,0.4446615167,-0.8956986857,0.4011380678,0.0988619322,0.5000000000
1.1150000000,0.4401774837,-0.8979107878,0.4031218914,0.0968781086,0.5000000000
1.1200000000,0.4356824463,-0.9001004422,0.4050904030,0.0949095970,0.5000000000
1.1250000000,0.4311765168,-0.9022675941,0.4070434057,0.0929565943,0.5000000000
1.1300000000,0.4266598079,-0.9044121894,0.4089807041,0.0910192959,0.5000000000
1.1350000000,0.4221324326,-0.9065341744,0.4109021047,0.0890978953,0.5000000000
1.1400000000,0.4175945040,-0.9086334961,0.4128074151,0.0871925849,0.5000000000
1.1450000000,0.4130461355,-0.9107101020,0.4146964450,0.0853035550,0.5000000000
1.1500000000,0.4084874409,-0.9127639403,0.4165690053,0.0834309947,0.5000000000
1.1550000000,0.4039185341,-0.9147949594,0.4184249089,0.0815750911,0.5000000000
1.1600000000,0.3993395294,-0.9168031088,0.4202639701,0.0797360299,0.5000000000
1.1650000000,0.3947505412,-0.9187883381,0.4220860051,0.0779139949,0.5000000000
1.1700000000,0.3901516843,-0.9207505977,0.4238908316,0.0761091684,0.5000000000
