t,x_num,v_num,Ekin,Epot,Etot,x_exact
0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.5000000000,0.5000000000,1.0000000000
0.0050000000,0.9999875021,-0.0049987294,0.0000124936,0.4999875022,0.4999999958,0.9999875021
0.0100000000,0.9999500171,-0.0099948351,0.0000499484,0.4999500183,0.4999999667,0.9999500171
0.0150000000,0.9998875583,-0.0149881936,0.0001123230,0.4998875647,0.4999998876,0.9998875583
0.0200000000,0.9998001399,-0.0199786814,0.0001995739,0.4998001599,0.4999997338,0.9998001399
0.0250000000,0.9996877765,-0.0249661752,0.0003116550,0.4996878253,0.4999994802,0.9996877765
0.0300000000,0.9995504834,-0.0299505519,0.0004485178,0.4995505844,0.4999991022,0.9995504834
0.0350000000,0.9993882764,-0.0349316885,0.0006101114,0.4993884635,0.4999985749,0.9993882764
0.0400000000,0.9992011721,-0.0399094621,0.0007963826,0.4992014912,0.4999978737,0.9992011721
0.0450000000,0.9989891876,-0.0448837499,0.0010072755,0.4989896985,0.4999969740,0.9989891876
0.0500000000,0.9987523406,-0.0498544293,0.0012427321,0.4987531189,0.4999958510,0.9987523406
0.0550000000,0.9984906495,-0.0548213781,0.0015026917,0.4984917886,0.4999944803,0.9984906495
0.0600000000,0.9982041332,-0.0597844737,0.0017870916,0.4982057458,0.4999928375,0.9982041332
0.0650000000,0.9978928114,-0.0647435942,0.0020958665,0.4978950315,0.4999908980,0.9978928114
0.0700000000,0.9975567041,-0.0696986176,0.0024289486,0.4975596890,0.4999886376,0.9975567041
0.0750000000,0.9971958323,-0.0746494221,0.0027862681,0.4971997639,0.4999860320,0.9971958323
0.0800000000,0.9968102171,-0.0795958860,0.0031677525,0.4968153045,0.4999830570,0.9968102171
0.0850000000,0.9963998808,-0.0845378879,0.0035733272,0.4964063613,0.4999796885,0.9963998808
0.0900000000,0.9959648459,-0.0894753065,0.0040029152,0.4959729871,0.4999759024,0.9959648459
0.0950000000,0.9955051356,-0.0944080207,0.0044564372,0.4955152375,0.4999716747,0.9955051356
0.1000000000,0.9950207737,-0.0993359096,0.0049338115,0.4950331701,0.4999669816,0.9950207737
0.1050000000,0.9945117848,-0.1042588523,0.0054349541,0.4945268450,0.4999617991,0.9945117848
0.1100000000,0.9939781937,-0.1091767284,0.0059597790,0.4939963247,0.4999561038,0.9939781937
0.1150000000,0.9934200261,-0.1140894174,0.0065081976,0.4934416741,0.4999498717,0.9934200261
0.1200000000,0.9928373083,-0.1189967992,0.0070801191,0.4928629604,0.4999430795,0.9928373083
0.1250000000,0.9922300672,-0.1238987538,0.0076754506,0.4922602531,0.4999357037,0.9922300672
0.1300000000,0.9915983300,-0.1287951612,0.0082940968,0.4916336241,0.4999277209,0.9915983300
0.1350000000,0.9909421250,-0.1336859021,0.0089359602,0.4909831475,0.4999191078,0.9909421250
0.1400000000,0.9902614807,-0.1385708568,0.0096009412,0.4903089000,0.4999098412,0.9902614807
0.1450000000,0.9895564263,-0.1434499063,0.0102889378,0.4896109604,0.4998998982,0.9895564263
0.1500000000,0.9888269916,-0.1483229315,0.0109998460,0.4888894097,0.4998892557,0.9888269916
0.1550000000,0.9880732072,-0.1531898137,0.0117335595,0.4881443314,0.4998778909,0.9880732072
0.1600000000,0.9872951039,-0.1580504343,0.0124899699,0.4873758111,0.4998657810,0.9872951039
0.1650000000,0.9864927135,-0.1629046749,0.0132689666,0.4865839369,0.4998529034,0.9864927135
0.1700000000,0.9856660680,-0.1677524174,0.0140704368,0.4857687988,0.4998392356,0.9856660680
0.1750000000,0.9848152003,-0.1725935439,0.0148942657,0.4849304894,0.4998247551,0.9848152003
0.1800000000,0.9839401438,-0.1774279367,0.0157403364,0.4840691033,0.4998094397,0.9839401438
0.1850000000,0.9830409324,-0.1822554783,0.0166085297,0.4831847374,0.4997932671,0.9830409324
0.1900000000,0.9821176006,-0.1870760515,0.0174987245,0.4822774907,0.4997762153,0.9821176006
0.1950000000,0.9811701837,-0.1918895393,0.0184107976,0.4813474647,0.4997582623,0.9811701837
0.2000000000,0.9801987172,-0.1966958249,0.0193446238,0.4803947626,0.4997393864,0.9801987172
0.2050000000,0.9792032376,-0.2014947918,0.0203000756,0.4794194903,0.4997195659,0.9792032376
0.2100000000,0.9781837817,-0.2062863238,0.0212770237,0.4784217554,0.4996987791,0.9781837817
0.2150000000,0.9771403870,-0.2110703047,0.0222753368,0.4774016679,0.4996770047,0.9771403870
0.2200000000,0.9760730915,-0.2158466188,0.0232948814,0.4763593399,0.4996542214,0.9760730915
0.2250000000,0.9749819338,-0.2206151505,0.0243355223,0.4752948856,0.4996304079,0.9749819338
0.2300000000,0.9738669531,-0.2253757846,0.0253971221,0.4742084212,0.4996055433,0.9738669531
0.2350000000,0.9727281893,-0.2301284060,0.0264795416,0.4731000651,0.4995796067,0.9727281893
0.2400000000,0.9715656826,-0.2348728999,0.0275826395,0.4719699378,0.4995525773,0.9715656826
0.2450000000,0.9703794740,-0.2396091518,0.0287062728,0.4708181618,0.4995244346,0.9703794740
0.2500000000,0.9691696050,-0.2443370474,0.0298502964,0.4696448616,0.4994951580,0.9691696050
0.2550000000,0.9679361177,-0.2490564728,0.0310145633,0.4684501639,0.4994647273,0.9679361177
0.2600000000,0.9666790546,-0.2537673143,0.0321989249,0.4672341973,0.4994331222,0.9666790546
0.2650000000,0.9653984590,-0.2584694583,0.0334032304,0.4659970923,0.4994003228,0.9653984590
0.2700000000,0.9640943747,-0.2631627917,0.0346273275,0.4647389816,0.4993663091,0.9640943747
0.2750000000,0.9627668460,-0.2678472016,0.0358710617,0.4634599998,0.4993310616,0.9627668460
