t,x_alpha_0.0001000000,x_alpha_0.1000000000,x_alpha_0.5000000000,x_alpha_1.9500000000
0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
0.0050000000,0.9999875000,0.9999875021,0.9999875104,0.9999875406
0.0100000000,0.9999500004,0.9999500171,0.9999500836,0.9999503238
0.0150000000,0.9998875022,0.9998875583,0.9998877828,0.9998885910
0.0200000000,0.9998000068,0.9998001399,0.9998006716,0.9998025814
0.0250000000,0.9996875165,0.9996877765,0.9996888142,0.9996925328
0.0300000000,0.9995500342,0.9995504834,0.9995522751,0.9995586811
0.0350000000,0.9993875632,0.9993882764,0.9993911194,0.9994012607
0.0400000000,0.9992001077,0.9992011721,0.9992054126,0.9992205040
0.0450000000,0.9989876724,0.9989891876,0.9989952205,0.9990166421
0.0500000000,0.9987502625,0.9987523406,0.9987606097,0.9987899042
0.0550000000,0.9984878840,0.9984906495,0.9985016469,0.9985405179
0.0600000000,0.9982005435,0.9982041332,0.9982183993,0.9982687092
0.0650000000,0.9978882482,0.9978928114,0.9979109348,0.9979747023
0.0700000000,0.9975510060,0.9975567041,0.9975793213,0.9976587199
0.0750000000,0.9971888251,0.9971958323,0.9972236276,0.9973209832
0.0800000000,0.9968017148,0.9968102171,0.9968439227,0.9969617116
0.0850000000,0.9963896847,0.9963998808,0.9964402758,0.9965811230
0.0900000000,0.9959527452,0.9959648459,0.9960127570,0.9961794337
0.0950000000,0.9954909070,0.9955051356,0.9955614365,0.9957568584
0.1000000000,0.9950041819,0.9950207737,0.9950863850,0.9953136103
0.1050000000,0.9944925820,0.9945117848,0.9945876736,0.9948499010
0.1100000000,0.9939561201,0.9939781937,0.9940653738,0.9943659405
0.1150000000,0.9933948096,0.9934200261,0.9935195576,0.9938619374
0.1200000000,0.9928086646,0.9928373083,0.9929502973,0.9933380987
0.1250000000,0.9921976997,0.9922300672,0.9923576657,0.9927946299
0.1300000000,0.9915619303,0.9915983300,0.9917417359,0.9922317350
0.1350000000,0.9909013721,0.9909421250,0.9911025815,0.9916496164
