# t   T_sensor   E_supplied   E_window
10  273  550  0.00735437
20  273  550  0.0387706
30  273  550  0.0958633
40  273.002  550  0.16242
50  273.008  550  0.230999
60  273.02  550  0.300836
70  273.041  550  0.370176
80  273.072  550  0.439008
90  273.114  550  0.506865
100  273.167  550  0.573639
110  273.231  550  0.639245
120  273.305  550  0.703568
130  273.388  550  0.766642
140  273.481  550  0.828397
150  273.582  550  0.888901
160  273.69  550  0.948131
170  273.806  550  1.00616
180  273.927  550  1.063
190  274.054  550  1.11872
200  274.186  550  1.17334
210  274.322  550  1.22694
220  274.462  550  1.27954
230  274.605  550  1.33121
240  274.751  550  1.38197
250  274.899  550  1.43189
260  275.048  550  1.48099
270  275.2  550  1.52932
280  275.352  550  1.57691
290  275.505  550  1.6238
300  275.66  550  1.67
310  275.814  550  1.71556
320  275.969  550  1.7605
330  276.123  550  1.80484
340  276.278  550  1.84861
350  276.432  550  1.89182
360  276.586  550  1.93449
370  276.739  550  1.97664
380  276.892  550  2.01829
390  277.044  550  2.05944
400  277.195  550  2.10012
410  277.346  550  2.14034
420  277.495  550  2.1801
430  277.643  550  2.21941
440  277.791  550  2.2583
450  277.937  550  2.29676
460  278.082  550  2.3348
470  278.227  550  2.37244
480  278.369  550  2.40967
490  278.511  550  2.44651
500  278.652  550  2.48297
510  278.791  550  2.51904
520  278.93  550  2.55474
530  279.067  550  2.59007
540  279.202  550  2.62503
550  279.337  550  2.65964
560  279.47  550  2.69389
570  279.602  550  2.72779
580  279.733  550  2.76134
590  279.863  550  2.79456
600  279.991  550  2.82744
610  280.119  550  2.85999
620  280.245  550  2.8922
630  280.369  550  2.9241
640  280.493  550  2.95567
650  280.615  550  2.98692
660  280.737  550  3.01786
670  280.857  550  3.04849
680  280.976  550  3.07882
690  281.094  550  3.10883
700  281.21  550  3.13855
710  281.326  550  3.16798
720  281.44  550  3.1971
730  281.553  550  3.22594
740  281.665  550  3.25449
750  281.776  550  3.28275
760  281.886  550  3.31073
770  281.995  550  3.33844
780  282.103  550  3.36586
790  282.209  550  3.39301
800  282.315  550  3.4199
810  282.42  550  3.44651
820  282.523  550  3.47286
830  282.626  550  3.49895
840  282.727  550  3.52477
850  282.828  550  3.55034
860  282.927  550  3.57566
870  283.026  550  3.60072
880  283.124  550  3.62554
890  283.22  550  3.6501
900  283.316  550  3.67442
910  283.41  550  3.6985
920  283.504  550  3.72234
930  283.597  550  3.74595
940  283.689  550  3.76932
950  283.78  550  3.79245
960  283.87  550  3.81536
970  283.959  550  3.83804
980  284.047  550  3.86049
990  284.135  550  3.88272
1000  284.221  550  3.90472
1010  284.307  550  3.92651
1020  284.392  550  3.94808
1030  284.476  550  3.96944
1040  284.559  550  3.99059
1050  284.641  550  4.01152
1060  284.723  550  4.03225
1070  284.804  550  4.05277
1080  284.883  550  4.07308
1090  284.963  550  4.0932
1100  285.041  550  4.11311
1110  285.118  550  4.13283
1120  285.195  550  4.15235
1130  285.271  550  4.17167
1140  285.346  550  4.1908
1150  285.421  550  4.20975
1160  285.495  550  4.2285
1170  285.568  550  4.24707
1180  285.64  550  4.26545
1190  285.712  550  4.28365
1200  285.782  550  4.30167
1210  285.853  550  4.31951
1220  285.922  550  4.33718
1230  285.991  550  4.35466
1240  286.059  550  4.37198
1250  286.126  550  4.38912
1260  286.193  550  4.40609
1270  286.259  550  4.42289
1280  286.325  550  4.43952
1290  286.389  550  4.45599
1300  286.454  550  4.4723
1310  286.517  550  4.48844
1320  286.58  550  4.50442
1330  286.642  550  4.52025
1340  286.704  550  4.53591
1350  286.765  550  4.55142
1360  286.825  550  4.56678
1370  286.885  550  4.58198
1380  286.944  550  4.59703
1390  287.003  550  4.61194
1400  287.061  550  4.62669
1410  287.118  550  4.6413
1420  287.175  550  4.65576
1430  287.231  550  4.67008
1440  287.287  550  4.68425
1450  287.342  550  4.69829
1460  287.397  550  4.71218
1470  287.451  550  4.72594
1480  287.505  550  4.73956
1490  287.558  550  4.75304
1500  287.61  550  4.7664
1510  287.662  550  4.77961
1520  287.714  550  4.7927
1530  287.765  550  4.80566
1540  287.815  550  4.81848
1550  287.865  550  4.83118
1560  287.914  550  4.84376
1570  287.963  550  4.8562
1580  288.012  550  4.86853
1590  288.06  550  4.88073
1600  288.107  550  4.89281
1610  288.154  550  4.90477
1620  288.201  550  4.91661
1630  288.247  550  4.92834
1640  288.293  550  4.93994
1650  288.338  550  4.95144
1660  288.383  550  4.96281
1670  288.427  550  4.97408
1680  288.471  550  4.98523
1690  288.514  550  4.99627
1700  288.557  550  5.0072
1710  288.6  550  5.01802
1720  288.642  550  5.02874
1730  288.684  550  5.03935
1740  288.725  550  5.04985
1750  288.766  550  5.06025
1760  288.806  550  5.07054
1770  288.847  550  5.08074
1780  288.886  550  5.09083
1790  288.926  550  5.10082
1800  288.964  550  5.11071
1810  289.003  550  5.1205
1820  289.041  550  5.1302
1830  289.079  550  5.1398
1840  289.116  550  5.1493
1850  289.153  550  5.15871
1860  289.19  550  5.16803
1870  289.226  550  5.17725
1880  289.262  550  5.18638
1890  289.298  550  5.19542
1900  289.333  550  5.20437
1910  289.368  550  5.21323
1920  289.402  550  5.22201
1930  289.436  550  5.23069
1940  289.47  550  5.23929
1950  289.504  550  5.24781
1960  289.537  550  5.25624
1970  289.57  550  5.26458
1980  289.602  550  5.27284
1990  289.634  550  5.28102
2000  289.666  550  5.28912
2010  289.698  550  5.29714
2020  289.729  550  5.30508
2030  289.76  550  5.31294
2040  289.79  550  5.32072
2050  289.821  550  5.32843
2060  289.851  550  5.33605
2070  289.88  550  5.34361
2080  289.91  550  5.35108
2090  289.939  550  5.35848
2100  289.968  550  5.36581
2110  289.996  550  5.37307
2120  290.025  550  5.38025
2130  290.052  550  5.38736
2140  290.08  550  5.39441
2150  290.108  550  5.40138
2160  290.135  550  5.40828
2170  290.162  550  5.41511
2180  290.188  550  5.42188
2190  290.215  550  5.42858
2200  290.241  550  5.43521
2210  290.266  550  5.44177
2220  290.292  550  5.44827
2230  290.317  550  5.45471
2240  290.342  550  5.46108
2250  290.367  550  5.46739
2260  290.392  550  5.47363
2270  290.416  550  5.47982
2280  290.44  550  5.48594
2290  290.464  550  5.492
2300  290.488  550  5.498
2310  290.511  550  5.50394
2320  290.534  550  5.50982
2330  290.557  550  5.51565
2340  290.58  550  5.52141
2350  290.602  550  5.52712
2360  290.624  550  5.53277
2370  290.646  550  5.53837
2380  290.668  550  5.54391
2390  290.69  550  5.54939
2400  290.711  550  5.55482
2410  290.732  550  5.5602
2420  290.753  550  5.56552
2430  290.774  550  5.57079
2440  290.794  550  5.576
2450  290.815  550  5.58117
2460  290.835  550  5.58628
2470  290.855  550  5.59135
2480  290.874  550  5.59636
2490  290.894  550  5.60132
2500  290.913  550  5.60623
2510  290.932  550  5.6111
2520  290.951  550  5.61591
2530  290.97  550  5.62068
2540  290.989  550  5.6254
2550  291.007  550  5.63008
2560  291.025  550  5.6347
2570  291.043  550  5.63928
2580  291.061  550  5.64382
2590  291.079  550  5.64831
2600  291.096  550  5.65276
2610  291.114  550  5.65716
2620  291.131  550  5.66152
2630  291.148  550  5.66583
2640  291.165  550  5.6701
2650  291.181  550  5.67433
2660  291.198  550  5.67852
2670  291.214  550  5.68266
2680  291.23  550  5.68677
2690  291.246  550  5.69083
2700  291.262  550  5.69485
2710  291.278  550  5.69884
2720  291.293  550  5.70278
2730  291.308  550  5.70668
2740  291.324  550  5.71055
2750  291.339  550  5.71438
2760  291.354  550  5.71816
2770  291.368  550  5.72192
2780  291.383  550  5.72563
2790  291.397  550  5.72931
2800  291.412  550  5.73295
2810  291.426  550  5.73655
2820  291.44  550  5.74012
2830  291.454  550  5.74365
2840  291.468  550  5.74715
2850  291.481  550  5.75061
2860  291.495  550  5.75404
2870  291.508  550  5.75743
2880  291.521  550  5.76079
2890  291.534  550  5.76412
2900  291.547  550  5.76742
2910  291.56  550  5.77068
2920  291.573  550  5.7739
2930  291.585  550  5.7771
2940  291.598  550  5.78027
2950  291.61  550  5.7834
2960  291.622  550  5.7865
2970  291.634  550  5.78957
2980  291.646  550  5.79261
2990  291.658  550  5.79562
3000  291.67  550  5.7986
3010  291.682  550  5.80156
3020  291.693  550  5.80448
3030  291.704  550  5.80737
3040  291.716  550  5.81023
3050  291.727  550  5.81307
3060  291.738  550  5.81588
3070  291.749  550  5.81865
3080  291.76  550  5.82141
3090  291.77  550  5.82413
3100  291.781  550  5.82683
3110  291.791  550  5.8295
3120  291.802  550  5.83214
3130  291.812  550  5.83476
3140  291.822  550  5.83735
3150  291.832  550  5.83992
