# t  Ekin  Epot  Etot
0 6.62751e-05 0.345348 0.345414
0.000166667 0.000261739 0.345149 0.345411
0.000333333 0.000576475 0.344821 0.345398
0.0005 0.00100095 0.344368 0.345369
0.000666667 0.0015261 0.343793 0.345319
0.000833333 0.00214333 0.343099 0.345243
0.001 0.00284444 0.342291 0.345136
0.00116667 0.00362167 0.341372 0.344993
0.00133333 0.00446765 0.340345 0.344812
0.0015 0.00537537 0.339214 0.344589
0.00166667 0.00633821 0.337982 0.344321
0.00183333 0.00734989 0.336654 0.344004
0.002 0.00840447 0.335232 0.343636
0.00216667 0.00949635 0.33372 0.343216
0.00233333 0.0106202 0.332121 0.342742
0.0025 0.0117711 0.33044 0.342211
0.00266667 0.0129442 0.328678 0.341622
0.00283333 0.0141351 0.32684 0.340975
0.003 0.0153398 0.324929 0.340269
0.00316667 0.0165541 0.322948 0.339502
0.00333333 0.0177745 0.3209 0.338674
0.0035 0.0189976 0.318788 0.337786
0.00366667 0.02022 0.316616 0.336836
0.00383333 0.0214388 0.314387 0.335825
0.004 0.0226512 0.312103 0.334754
0.00416667 0.0238545 0.309767 0.333621
0.00433333 0.0250464 0.307382 0.332429
0.0045 0.0262246 0.304952 0.331177
0.00466667 0.0273871 0.302479 0.329866
0.00483333 0.0285318 0.299965 0.328497
0.005 0.0296571 0.297413 0.32707
0.00516667 0.0307613 0.294826 0.325587
0.00533333 0.031843 0.292207 0.32405
0.0055 0.0329008 0.289557 0.322458
0.00566667 0.0339335 0.286879 0.320813
0.00583333 0.0349401 0.284176 0.319116
0.006 0.0359195 0.28145 0.31737
0.00616667 0.0368709 0.278703 0.315574
0.00633333 0.0377935 0.275937 0.313731
0.0065 0.0386867 0.273154 0.311841
0.00666667 0.0395499 0.270357 0.309907
0.00683333 0.0403826 0.267547 0.30793
0.007 0.0411844 0.264726 0.305911
0.00716667 0.041955 0.261897 0.303852
0.00733333 0.0426942 0.25906 0.301754
0.0075 0.0434017 0.256218 0.29962
0.00766667 0.0440775 0.253372 0.29745
0.00783333 0.0447215 0.250525 0.295246
0.008 0.0453338 0.247676 0.29301
0.00816667 0.0459143 0.244829 0.290744
0.00833333 0.0464632 0.241985 0.288448
0.0085 0.0469807 0.239145 0.286125
0.00866667 0.0474669 0.236309 0.283776
0.00883333 0.0479222 0.233481 0.281403
0.009 0.0483468 0.23066 0.279007
0.00916667 0.048741 0.227849 0.27659
0.00933333 0.0491052 0.225048 0.274153
0.0095 0.0494398 0.222258 0.271698
