# t b1 d1 e1 b2 d2 e2 b3 d3 e3 
0 0.00999986 -0.00164491 0.0246731 0.00999945 -0.00657932 0.0986816 0.00999877 -0.0148023 0.221993
0.000166667 0.00999945 -0.00326921 0.0246731 0.00999781 -0.0130757 0.0986811 0.00999507 -0.0294159 0.22199
0.000333333 0.00999877 -0.00485256 0.0246729 0.00999509 -0.0194071 0.098679 0.00998896 -0.0436545 0.22198
0.0005 0.00999783 -0.00639567 0.0246726 0.00999134 -0.0255761 0.0986743 0.00998051 -0.0575217 0.221956
0.000666667 0.00999664 -0.00789954 0.0246721 0.00998657 -0.0315861 0.0986661 0.00996979 -0.0710234 0.221915
0.000833333 0.0099952 -0.00936509 0.0246714 0.00998081 -0.0374403 0.0986537 0.00995684 -0.0841655 0.221852
0.001 0.00999352 -0.0107933 0.0246703 0.00997409 -0.0431421 0.0986362 0.00994173 -0.0969538 0.221764
0.00116667 0.0099916 -0.012185 0.0246688 0.00996643 -0.0486948 0.0986129 0.00992452 -0.109394 0.221646
0.00133333 0.00998946 -0.0135411 0.024667 0.00995786 -0.0541014 0.0985833 0.00990527 -0.121492 0.221497
0.0015 0.00998709 -0.0148625 0.0246647 0.00994839 -0.0593651 0.0985468 0.00988402 -0.133253 0.221313
0.00166667 0.0099845 -0.0161501 0.0246619 0.00993807 -0.0644889 0.0985028 0.00986085 -0.144683 0.221091
0.00183333 0.00998171 -0.0174046 0.0246586 0.0099269 -0.0694758 0.0984509 0.0098358 -0.155787 0.22083
0.002 0.0099787 -0.0186268 0.0246549 0.00991491 -0.0743287 0.0983906 0.00980892 -0.166572 0.220527
0.00216667 0.0099755 -0.0198175 0.0246505 0.00990212 -0.0790505 0.0983216 0.00978027 -0.177041 0.220181
0.00233333 0.0099721 -0.0209776 0.0246456 0.00988856 -0.0836439 0.0982435 0.00974991 -0.187202 0.219789
0.0025 0.0099685 -0.0221077 0.0246401 0.00987424 -0.0881116 0.0981561 0.00971787 -0.197058 0.219352
0.00266667 0.00996473 -0.0232086 0.024634 0.00985919 -0.0924565 0.0980591 0.00968422 -0.206615 0.218867
0.00283333 0.00996077 -0.0242809 0.0246273 0.00984342 -0.0966811 0.0979523 0.009649 -0.215879 0.218334
0.003 0.00995663 -0.0253254 0.0246199 0.00982696 -0.100788 0.0978356 0.00961226 -0.224854 0.217752
0.00316667 0.00995233 -0.0263428 0.0246119 0.00980983 -0.10478 0.0977087 0.00957405 -0.233546 0.21712
0.00333333 0.00994785 -0.0273336 0.0246032 0.00979203 -0.108658 0.0975715 0.00953441 -0.241959 0.216439
0.0035 0.00994322 -0.0282986 0.0245939 0.00977361 -0.112427 0.097424 0.0094934 -0.250099 0.215708
