# step time Ekin Epot Etot T
0 0 506.723 -57.4809 449.242 2.52101
10 0.02 507.666 -58.424 449.242 2.5257
20 0.04 510.316 -61.0737 449.242 2.53888
30 0.06 514.766 -65.524 449.242 2.56102
40 0.08 521.032 -71.7905 449.241 2.5922
50 0.1 528.494 -79.2547 449.239 2.62932
60 0.12 534.064 -84.833 449.231 2.65704
70 0.14 530.683 -81.4531 449.23 2.64022
80 0.16 522.509 -73.2815 449.228 2.59955
90 0.18 522.129 -72.8965 449.233 2.59766
100 0.2 532.411 -83.187 449.224 2.64881
110 0.22 539.44 -90.2152 449.224 2.68378
120 0.24 537.994 -88.7913 449.203 2.67659
130 0.26 513.434 -64.2056 449.229 2.5544
140 0.28 505.162 -55.9274 449.235 2.51324
150 0.3 523.362 -74.1591 449.203 2.60379
160 0.32 530.771 -81.5416 449.229 2.64065
170 0.34 543.831 -94.6021 449.229 2.70563
180 0.36 558.554 -109.343 449.211 2.77887
190 0.38 554.353 -105.125 449.228 2.75797
200 0.4 555.488 -106.259 449.229 2.76362
210 0.42 565.763 -116.537 449.225 2.81474
220 0.44 570.124 -120.915 449.209 2.83644
230 0.46 555.275 -106.051 449.223 2.76256
240 0.48 538.759 -89.5243 449.235 2.68039
250 0.5 547.197 -97.9711 449.226 2.72237
260 0.52 566.113 -116.907 449.206 2.81648
270 0.54 563.016 -113.792 449.224 2.80108
280 0.56 555.396 -106.173 449.223 2.76316
290 0.58 548.166 -98.9456 449.221 2.72719
300 0.6 545.672 -96.44 449.232 2.71479
310 0.62 557.861 -108.654 449.207 2.77543
320 0.64 555.972 -106.743 449.23 2.76603
330 0.66 560.741 -111.507 449.234 2.78975
340 0.68 574.082 -124.864 449.218 2.85613
350 0.7 572.067 -122.84 449.227 2.84611
360 0.72 563.929 -114.7 449.229 2.80562
370 0.74 555.495 -106.275 449.22 2.76366
380 0.76 542.283 -93.0585 449.225 2.69793
390 0.78 541.05 -91.8181 449.232 2.69179
400 0.8 564.528 -115.312 449.215 2.80859
410 0.82 579.507 -130.3 449.207 2.88312
420 0.84 567.474 -118.244 449.23 2.82325
430 0.86 556.702 -107.466 449.236 2.76966
440 0.88 559.111 -109.888 449.224 2.78165
450 0.9 559.317 -110.093 449.223 2.78267
460 0.92 555.704 -106.47 449.235 2.7647
470 0.94 562.521 -113.294 449.227 2.79861
480 0.96 568.24 -119.026 449.213 2.82706
490 0.98 563.276 -114.057 449.219 2.80237
500 1 554.934 -105.708 449.226 2.76087
