# step time Ekin Epot Etot T
0 0 488.597 -57.4954 431.101 2.44298
10 0.02 497.892 -58.51 439.382 2.48946
20 0.04 501.742 -61.1597 440.583 2.50871
30 0.06 503.293 -65.5661 437.727 2.51647
40 0.08 503.887 -71.7573 432.129 2.51943
50 0.1 504.032 -78.9449 425.087 2.52016
60 0.12 503.79 -82.5725 421.217 2.51895
70 0.14 504.078 -71.5737 432.504 2.52039
80 0.16 504.714 -63.8067 440.907 2.52357
90 0.18 503.7 -71.5552 432.144 2.5185
100 0.2 504.154 -67.7242 436.43 2.52077
110 0.22 504.97 -64.8615 440.108 2.52485
120 0.24 503.489 -76.652 426.837 2.51744
130 0.26 504.773 -82.73 422.043 2.52386
140 0.28 504.168 -99.792 404.376 2.52084
150 0.3 503.773 -112.65 391.123 2.51886
160 0.32 504.187 -108.656 395.531 2.52094
170 0.34 503.847 -104.812 399.035 2.51924
180 0.36 504.558 -100.004 404.554 2.52279
190 0.38 504.509 -100.094 404.415 2.52254
200 0.4 504.434 -107.288 397.146 2.52217
210 0.42 503.946 -119.164 384.782 2.51973
220 0.44 503.971 -123.246 380.725 2.51985
230 0.46 504.183 -117.1 387.083 2.52091
240 0.48 504.617 -113.838 390.779 2.52308
250 0.5 504.077 -122.477 381.6 2.52039
260 0.52 504.191 -129.045 375.145 2.52095
270 0.54 504.031 -132.107 371.924 2.52015
280 0.56 504.268 -131.461 372.807 2.52134
290 0.58 503.99 -130.551 373.439 2.51995
300 0.6 503.872 -121.072 382.8 2.51936
310 0.62 504.709 -104.719 399.99 2.52355
320 0.64 504.812 -106.731 398.081 2.52406
330 0.66 503.719 -126.803 376.916 2.5186
340 0.68 503.524 -129.133 374.391 2.51762
350 0.7 504.795 -121.551 383.244 2.52397
360 0.72 504.288 -125.425 378.863 2.52144
370 0.74 504.193 -124.66 379.533 2.52096
380 0.76 504.324 -120.95 383.375 2.52162
390 0.78 504.267 -121.091 383.177 2.52134
400 0.8 504.128 -125.39 378.738 2.52064
410 0.82 503.736 -124.041 379.695 2.51868
420 0.84 504.734 -110.374 394.36 2.52367
430 0.86 503.582 -111.209 392.373 2.51791
440 0.88 504.638 -107.045 397.593 2.52319
450 0.9 504.137 -117.094 387.043 2.52068
460 0.92 503.744 -129.194 374.549 2.51872
470 0.94 504.171 -127.39 376.78 2.52085
480 0.96 504.069 -120.481 383.588 2.52034
490 0.98 503.858 -110.694 393.164 2.51929
500 1 504.253 -107.872 396.381 2.52127
510 1.02 503.863 -101.049 402.814 2.51932
520 1.04 505.022 -91.1492 413.872 2.52511
530 1.06 504.293 -100.348 403.945 2.52146
540 1.08 503.832 -103.035 400.796 2.51916
550 1.1 505.061 -103.668 401.393 2.5253
560 1.12 503.888 -117.853 386.035 2.51944
570 1.14 504.16 -122.78 381.38 2.5208
580 1.16 504.174 -124.514 379.659 2.52087
590 1.18 503.964 -120.988 382.976 2.51982
600 1.2 504.557 -114.684 389.873 2.52279
610 1.22 504.057 -113.066 390.991 2.52028
620 1.24 504.212 -108.372 395.84 2.52106
630 1.26 504.444 -109.112 395.332 2.52222
640 1.28 504.077 -114.334 389.743 2.52039
650 1.3 504.467 -118.195 386.273 2.52234
660 1.32 503.953 -126.04 377.913 2.51976
670 1.34 504.101 -125.714 378.388 2.52051
680 1.36 504.241 -121.917 382.324 2.5212
690 1.38 504.054 -118 386.054 2.52027
700 1.4 504.338 -109.841 394.497 2.52169
710 1.42 504.57 -110.587 393.983 2.52285
720 1.44 503.887 -121.01 382.877 2.51943
730 1.46 503.78 -120.393 383.387 2.5189
740 1.48 504.68 -106.534 398.146 2.5234
750 1.5 503.996 -106.201 397.795 2.51998
760 1.52 504.222 -109.722 394.5 2.52111
770 1.54 504.172 -111.973 392.199 2.52086
780 1.56 504.329 -113.743 390.585 2.52164
790 1.58 503.701 -117.133 386.568 2.5185
800 1.6 504.428 -108.011 396.418 2.52214
810 1.62 504.263 -102.578 401.686 2.52132
820 1.64 504.12 -102.653 401.467 2.5206
830 1.66 504.664 -102.893 401.771 2.52332
840 1.68 504.011 -108.274 395.738 2.52006
850 1.7 503.926 -110.24 393.686 2.51963
860 1.72 504.586 -108.284 396.302 2.52293
870 1.74 504.022 -114.486 389.537 2.52011
880 1.76 503.872 -116.29 387.582 2.51936
890 1.78 504.489 -111.027 393.462 2.52245
900 1.8 504.085 -107.798 396.287 2.52043
910 1.82 504.414 -105.528 398.886 2.52207
920 1.84 503.869 -105.415 398.455 2.51935
930 1.86 504.72 -101.242 403.478 2.5236
940 1.88 504.032 -104.652 399.381 2.52016
950 1.9 504.169 -101.123 403.046 2.52084
960 1.92 504.553 -104.855 399.698 2.52276
970 1.94 503.713 -116.237 387.476 2.51857
980 1.96 504.366 -114.47 389.896 2.52183
990 1.98 503.938 -112.934 391.004 2.51969
1000 2 504.297 -110.279 394.018 2.52148
1010 2.02 504.315 -108.951 395.364 2.52157
1020 2.04 503.939 -109.093 394.846 2.5197
1030 2.06 504.33 -103.829 400.501 2.52165
1040 2.08 504.476 -103.574 400.902 2.52238
1050 2.1 503.621 -110.522 393.098 2.5181
1060 2.12 503.829 -99.5165 404.312 2.51914
1070 2.14 505.997 -83.9891 422.007 2.52998
1080 2.16 503.536 -101.361 402.175 2.51768
1090 2.18 504.089 -106.748 397.34 2.52044
1100 2.2 503.93 -108.671 395.259 2.51965
1110 2.22 504.476 -109.319 395.156 2.52238
1120 2.24 503.991 -114.939 389.052 2.51996
1130 2.26 504.068 -115.008 389.06 2.52034
1140 2.28 504.344 -110.855 393.489 2.52172
1150 2.3 503.98 -107.345 396.635 2.5199
1160 2.32 504.579 -104.913 399.666 2.52289
1170 2.34 504.108 -113.215 390.894 2.52054
1180 2.36 504.007 -119.454 384.553 2.52004
1190 2.38 504.198 -117.803 386.395 2.52099
1200 2.4 504.151 -118.229 385.922 2.52076
1210 2.42 503.96 -118.992 384.968 2.5198
1220 2.44 504.356 -112.471 391.884 2.52178
1230 2.46 504.184 -110.189 393.995 2.52092
1240 2.48 504.302 -108.806 395.496 2.52151
1250 2.5 504.327 -110.5 393.827 2.52164
1260 2.52 503.865 -114.755 389.11 2.51933
1270 2.54 504.304 -109.567 394.737 2.52152
1280 2.56 504.33 -108.202 396.128 2.52165
1290 2.58 503.84 -109.38 394.46 2.5192
1300 2.6 504.789 -104.794 399.995 2.52394
1310 2.62 503.971 -111.188 392.783 2.51986
1320 2.64 504.328 -115.793 388.535 2.52164
1330 2.66 503.802 -118.853 384.949 2.51901
1340 2.68 504.395 -114.755 389.641 2.52198
1350 2.7 504.208 -115.155 389.053 2.52104
1360 2.72 503.48 -111.645 391.835 2.5174
1370 2.74 506.116 -93.9374 412.179 2.53058
1380 2.76 503.122 -108.298 394.824 2.51561
1390 2.78 504.817 -108.724 396.093 2.52408
1400 2.8 504.143 -112.056 392.087 2.52072
1410 2.82 504.023 -113.858 390.164 2.52011
1420 2.84 504.315 -110.227 394.088 2.52157
1430 2.86 504.488 -112.269 392.219 2.52244
1440 2.88 503.948 -121.843 382.105 2.51974
1450 2.9 504.18 -124.851 379.329 2.5209
1460 2.92 504.185 -126.307 377.878 2.52092
1470 2.94 503.93 -125.361 378.569 2.51965
1480 2.96 504.34 -117.735 386.605 2.5217
1490 2.98 504.493 -114.078 390.414 2.52246
1500 3 504.203 -119.417 384.786 2.52101
1510 3.02 504.01 -124.672 379.338 2.52005
1520 3.04 504.045 -122.124 381.92 2.52022
