# it time Tinst Tset
0 0 2.57543 2.52101
10 0.02 2.47638 2.52101
20 0.04 2.48243 2.51605
30 0.06 2.55455 2.51605
40 0.08 2.48672 2.51109
50 0.1 2.46309 2.51109
60 0.12 2.51368 2.50613
70 0.14 2.49137 2.50613
80 0.16 2.4606 2.50118
90 0.18 2.48067 2.50118
100 0.2 2.5917 2.49622
110 0.22 2.51987 2.49622
120 0.24 2.31646 2.49126
130 0.26 2.52335 2.49126
140 0.28 2.531 2.4863
150 0.3 2.43818 2.4863
160 0.32 2.48145 2.48134
170 0.34 2.46082 2.48134
180 0.36 2.46633 2.47639
190 0.38 2.49089 2.47639
200 0.4 2.42681 2.47143
210 0.42 2.42606 2.47143
220 0.44 2.54602 2.46647
230 0.46 2.41458 2.46647
240 0.48 2.40431 2.46151
250 0.5 2.52899 2.46151
260 0.52 2.40608 2.45655
270 0.54 2.41567 2.45655
280 0.56 2.48236 2.4516
290 0.58 2.39559 2.4516
300 0.6 2.48197 2.44664
310 0.62 2.47066 2.44664
320 0.64 2.35075 2.44168
330 0.66 2.44408 2.44168
340 0.68 2.48626 2.43672
350 0.7 2.32809 2.43672
360 0.72 2.4641 2.43176
370 0.74 2.48192 2.43176
380 0.76 2.37551 2.42681
390 0.78 2.39098 2.42681
400 0.8 2.4083 2.42185
410 0.82 2.41888 2.42185
420 0.84 2.42294 2.41689
430 0.86 2.40819 2.41689
440 0.88 2.33754 2.41193
450 0.9 2.46971 2.41193
460 0.92 2.46226 2.40697
470 0.94 2.25955 2.40697
480 0.96 2.38892 2.40202
490 0.98 2.51177 2.40202
500 1 2.31817 2.39706
510 1.02 2.37581 2.39706
520 1.04 2.43676 2.3921
530 1.06 2.31735 2.3921
540 1.08 2.36138 2.38714
550 1.1 2.4426 2.38714
560 1.12 2.3274 2.38218
570 1.14 2.36483 2.38218
580 1.16 2.45265 2.37723
590 1.18 2.31528 2.37723
600 1.2 2.29434 2.37227
610 1.22 2.45896 2.37227
620 1.24 2.31833 2.36731
630 1.26 2.25825 2.36731
640 1.28 2.46535 2.36235
650 1.3 2.41074 2.36235
660 1.32 2.21106 2.35739
670 1.34 2.39073 2.35739
680 1.36 2.44119 2.35244
690 1.38 2.22142 2.35244
700 1.4 2.32289 2.34748
710 1.42 2.42702 2.34748
720 1.44 2.27855 2.34252
730 1.46 2.29632 2.34252
740 1.48 2.41984 2.33756
750 1.5 2.30859 2.33756
760 1.52 2.24238 2.33261
770 1.54 2.3456 2.33261
780 1.56 2.37579 2.32765
790 1.58 2.29864 2.32765
800 1.6 2.28898 2.32269
810 1.62 2.33969 2.32269
820 1.64 2.28895 2.31773
830 1.66 2.26921 2.31773
840 1.68 2.35573 2.31277
850 1.7 2.33997 2.31277
860 1.72 2.23423 2.30782
870 1.74 2.28778 2.30782
880 1.76 2.33731 2.30286
890 1.78 2.23343 2.30286
900 1.8 2.30848 2.2979
910 1.82 2.35613 2.2979
920 1.84 2.20377 2.29294
930 1.86 2.27967 2.29294
940 1.88 2.34618 2.28798
950 1.9 2.23449 2.28798
960 1.92 2.23361 2.28303
970 1.94 2.33577 2.28303
980 1.96 2.2564 2.27807
990 1.98 2.21757 2.27807
1000 2 2.33445 2.27311
1010 2.02 2.25865 2.27311
1020 2.04 2.19522 2.26815
1030 2.06 2.31652 2.26815
1040 2.08 2.25213 2.26319
1050 2.1 2.18928 2.26319
1060 2.12 2.27443 2.25824
1070 2.14 2.29438 2.25824
1080 2.16 2.20467 2.25328
1090 2.18 2.2481 2.25328
1100 2.2 2.28288 2.24832
1110 2.22 2.17046 2.24832
1120 2.24 2.2154 2.24336
1130 2.26 2.2982 2.24336
1140 2.28 2.24066 2.2384
1150 2.3 2.15912 2.2384
1160 2.32 2.27788 2.23345
1170 2.34 2.26332 2.23345
1180 2.36 2.11157 2.22849
1190 2.38 2.21792 2.22849
1200 2.4 2.34252 2.22353
1210 2.42 2.11927 2.22353
1220 2.44 2.14116 2.21857
1230 2.46 2.35498 2.21857
1240 2.48 2.15266 2.21361
1250 2.5 2.10879 2.21361
1260 2.52 2.32713 2.20866
1270 2.54 2.23015 2.20866
1280 2.56 2.05302 2.2037
1290 2.58 2.21818 2.2037
1300 2.6 2.29349 2.19874
1310 2.62 2.09268 2.19874
1320 2.64 2.16296 2.19378
1330 2.66 2.26645 2.19378
1340 2.68 2.15367 2.18882
1350 2.7 2.1808 2.18882
1360 2.72 2.18678 2.18387
1370 2.74 2.1363 2.18387
1380 2.76 2.19268 2.17891
1390 2.78 2.17503 2.17891
1400 2.8 2.12823 2.17395
1410 2.82 2.18556 2.17395
1420 2.84 2.19863 2.16899
1430 2.86 2.0837 2.16899
1440 2.88 2.14893 2.16403
1450 2.9 2.25254 2.16403
1460 2.92 2.0695 2.15908
1470 2.94 2.1591 2.15908
1480 2.96 2.23473 2.15412
1490 2.98 2.05258 2.15412
1500 3 2.0778 2.14916
