# it time Tinst Tset
0 0 2.46538 2.52101
10 0.02 2.53427 2.52101
20 0.04 2.53046 2.52101
30 0.06 2.47538 2.52101
40 0.08 2.5216 2.52101
50 0.1 2.52757 2.52101
60 0.12 2.46181 2.52101
70 0.14 2.51006 2.52101
80 0.16 2.5783 2.52101
90 0.18 2.43329 2.52101
100 0.2 2.49836 2.52101
110 0.22 2.59251 2.52101
120 0.24 2.46451 2.52101
130 0.26 2.46651 2.52101
140 0.28 2.55461 2.52101
150 0.3 2.53259 2.52101
160 0.32 2.50234 2.52101
170 0.34 2.50682 2.52101
180 0.36 2.48069 2.52101
190 0.38 2.49303 2.52101
200 0.4 2.51037 2.51605
210 0.42 2.53233 2.51605
220 0.44 2.48438 2.51605
230 0.46 2.47606 2.51605
240 0.48 2.56283 2.51605
250 0.5 2.47251 2.51605
260 0.52 2.48494 2.51605
270 0.54 2.52927 2.51605
280 0.56 2.49373 2.51605
290 0.58 2.53124 2.51605
300 0.6 2.50283 2.51605
310 0.62 2.45583 2.51605
320 0.64 2.53924 2.51605
330 0.66 2.48781 2.51605
340 0.68 2.47247 2.51605
350 0.7 2.58968 2.51605
360 0.72 2.43586 2.51605
370 0.74 2.45464 2.51605
380 0.76 2.62254 2.51605
390 0.78 2.48599 2.51605
400 0.8 2.40961 2.51109
410 0.82 2.58261 2.51109
420 0.84 2.51123 2.51109
430 0.86 2.41473 2.51109
440 0.88 2.54794 2.51109
450 0.9 2.51575 2.51109
460 0.92 2.45103 2.51109
470 0.94 2.50464 2.51109
480 0.96 2.53877 2.51109
490 0.98 2.50727 2.51109
500 1 2.44755 2.51109
510 1.02 2.44466 2.51109
520 1.04 2.62533 2.51109
530 1.06 2.4554 2.51109
540 1.08 2.46647 2.51109
550 1.1 2.60553 2.51109
560 1.12 2.40359 2.51109
570 1.14 2.43098 2.51109
580 1.16 2.64496 2.51109
590 1.18 2.422 2.51109
600 1.2 2.38116 2.50613
610 1.22 2.66724 2.50613
620 1.24 2.46076 2.50613
630 1.26 2.46348 2.50613
640 1.28 2.57359 2.50613
650 1.3 2.45398 2.50613
660 1.32 2.40937 2.50613
670 1.34 2.56851 2.50613
680 1.36 2.4862 2.50613
690 1.38 2.43031 2.50613
700 1.4 2.55242 2.50613
710 1.42 2.51822 2.50613
720 1.44 2.4367 2.50613
730 1.46 2.5283 2.50613
740 1.48 2.53437 2.50613
750 1.5 2.41319 2.50613
760 1.52 2.48073 2.50613
770 1.54 2.6063 2.50613
780 1.56 2.4082 2.50613
790 1.58 2.4392 2.50613
800 1.6 2.66298 2.50118
810 1.62 2.37948 2.50118
820 1.64 2.38316 2.50118
830 1.66 2.67674 2.50118
840 1.68 2.46391 2.50118
850 1.7 2.35856 2.50118
860 1.72 2.60557 2.50118
870 1.74 2.50323 2.50118
880 1.76 2.3478 2.50118
890 1.78 2.59181 2.50118
900 1.8 2.5603 2.50118
910 1.82 2.34099 2.50118
920 1.84 2.52029 2.50118
930 1.86 2.59771 2.50118
940 1.88 2.37611 2.50118
950 1.9 2.47112 2.50118
960 1.92 2.59154 2.50118
970 1.94 2.43163 2.50118
980 1.96 2.44582 2.50118
990 1.98 2.5853 2.50118
1000 2 2.48829 2.49622
1010 2.02 2.39796 2.49622
1020 2.04 2.49953 2.49622
1030 2.06 2.55321 2.49622
1040 2.08 2.41394 2.49622
1050 2.1 2.45698 2.49622
1060 2.12 2.55678 2.49622
1070 2.14 2.46083 2.49622
1080 2.16 2.46724 2.49622
1090 2.18 2.53598 2.49622
1100 2.2 2.43998 2.49622
1110 2.22 2.43108 2.49622
1120 2.24 2.57391 2.49622
1130 2.26 2.48712 2.49622
1140 2.28 2.36446 2.49622
1150 2.3 2.58822 2.49622
1160 2.32 2.53636 2.49622
1170 2.34 2.38059 2.49622
1180 2.36 2.47702 2.49622
1190 2.38 2.56877 2.49622
1200 2.4 2.42371 2.49126
1210 2.42 2.44708 2.49126
1220 2.44 2.52644 2.49126
1230 2.46 2.49652 2.49126
1240 2.48 2.45169 2.49126
1250 2.5 2.47272 2.49126
1260 2.52 2.46354 2.49126
1270 2.54 2.50316 2.49126
1280 2.56 2.49534 2.49126
1290 2.58 2.46778 2.49126
1300 2.6 2.42992 2.49126
1310 2.62 2.51087 2.49126
1320 2.64 2.50613 2.49126
1330 2.66 2.52456 2.49126
1340 2.68 2.39413 2.49126
1350 2.7 2.44792 2.49126
1360 2.72 2.57412 2.49126
1370 2.74 2.44542 2.49126
1380 2.76 2.42063 2.49126
1390 2.78 2.53287 2.49126
1400 2.8 2.48078 2.4863
1410 2.82 2.44555 2.4863
1420 2.84 2.5083 2.4863
1430 2.86 2.45193 2.4863
1440 2.88 2.49726 2.4863
1450 2.9 2.45804 2.4863
1460 2.92 2.43524 2.4863
1470 2.94 2.52892 2.4863
1480 2.96 2.44083 2.4863
1490 2.98 2.47429 2.4863
1500 3 2.49685 2.4863
1510 3.02 2.49325 2.4863
1520 3.04 2.45973 2.4863
1530 3.06 2.44197 2.4863
1540 3.08 2.47589 2.4863
1550 3.1 2.51359 2.4863
1560 3.12 2.43608 2.4863
1570 3.14 2.44279 2.4863
1580 3.16 2.55099 2.4863
1590 3.18 2.49473 2.4863
1600 3.2 2.37491 2.48134
1610 3.22 2.49353 2.48134
1620 3.24 2.50776 2.48134
1630 3.26 2.44785 2.48134
1640 3.28 2.47887 2.48134
1650 3.3 2.45243 2.48134
1660 3.32 2.44858 2.48134
1670 3.34 2.51251 2.48134
1680 3.36 2.46719 2.48134
1690 3.38 2.45027 2.48134
1700 3.4 2.48618 2.48134
1710 3.42 2.4527 2.48134
1720 3.44 2.42784 2.48134
1730 3.46 2.53081 2.48134
1740 3.48 2.48298 2.48134
1750 3.5 2.38925 2.48134
1760 3.52 2.53787 2.48134
1770 3.54 2.46883 2.48134
1780 3.56 2.37102 2.48134
1790 3.58 2.59211 2.48134
1800 3.6 2.49348 2.47639
1810 3.62 2.3327 2.47639
1820 3.64 2.51 2.47639
1830 3.66 2.50207 2.47639
1840 3.68 2.43659 2.47639
1850 3.7 2.47456 2.47639
1860 3.72 2.44186 2.47639
1870 3.74 2.44349 2.47639
1880 3.76 2.50346 2.47639
1890 3.78 2.50724 2.47639
1900 3.8 2.37763 2.47639
1910 3.82 2.49835 2.47639
1920 3.84 2.50874 2.47639
1930 3.86 2.41839 2.47639
1940 3.88 2.46237 2.47639
1950 3.9 2.48372 2.47639
1960 3.92 2.43371 2.47639
1970 3.94 2.45105 2.47639
1980 3.96 2.52078 2.47639
1990 3.98 2.41764 2.47639
2000 4 2.43449 2.47143
2010 4.02 2.5548 2.47143
2020 4.04 2.44377 2.47143
2030 4.06 2.35314 2.47143
2040 4.08 2.55177 2.47143
2050 4.1 2.48682 2.47143
2060 4.12 2.34645 2.47143
2070 4.14 2.5063 2.47143
2080 4.16 2.55531 2.47143
2090 4.18 2.33487 2.47143
2100 4.2 2.45918 2.47143
2110 4.22 2.56768 2.47143
2120 4.24 2.38872 2.47143
2130 4.26 2.42959 2.47143
2140 4.28 2.51837 2.47143
2150 4.3 2.42406 2.47143
