# step time x y
0 0 17.5 10.8333
10 0.02 17.5436 10.8365
20 0.04 17.5872 10.8396
30 0.06 17.6311 10.8426
40 0.08 17.6752 10.8454
50 0.1 17.7197 10.8482
60 0.12 17.7645 10.8508
70 0.14 17.8099 10.8532
80 0.16 17.8559 10.8556
90 0.18 17.9026 10.8579
100 0.2 17.9501 10.8602
110 0.22 17.9985 10.8624
120 0.24 18.0479 10.8648
130 0.26 18.0982 10.8673
140 0.28 18.1488 10.87
150 0.3 18.1954 10.8722
160 0.32 18.2251 10.8716
170 0.34 18.2223 10.8641
180 0.36 18.1963 10.851
190 0.38 18.1634 10.8365
200 0.4 18.1302 10.8226
210 0.42 18.0978 10.81
220 0.44 18.0665 10.7986
230 0.46 18.0362 10.7883
240 0.48 18.0071 10.7778
250 0.5 17.9796 10.7635
260 0.52 17.9552 10.7374
270 0.54 17.9353 10.6916
280 0.56 17.9195 10.6285
290 0.58 17.9056 10.5568
300 0.6 17.892 10.4823
310 0.62 17.8776 10.4073
320 0.64 17.862 10.3319
330 0.66 17.8451 10.2561
340 0.68 17.8271 10.1796
350 0.7 17.8085 10.1023
360 0.72 17.7896 10.0242
370 0.74 17.7708 9.94589
380 0.76 17.7518 9.86931
390 0.78 17.7307 9.79858
400 0.8 17.7037 9.7398
410 0.82 17.668 9.69545
420 0.84 17.6255 9.66093
430 0.86 17.5803 9.6306
440 0.88 17.535 9.60157
450 0.9 17.4906 9.57288
460 0.92 17.4475 9.54429
470 0.94 17.4058 9.51581
480 0.96 17.3654 9.48751
490 0.98 17.3262 9.45947
500 1 17.2881 9.43176
510 1.02 17.251 9.40447
520 1.04 17.2146 9.37762
530 1.06 17.1789 9.35124
540 1.08 17.1436 9.3253
550 1.1 17.1088 9.29979
560 1.12 17.0743 9.27465
570 1.14 17.0399 9.24978
580 1.16 17.0056 9.22507
590 1.18 16.9713 9.20041
600 1.2 16.9368 9.17564
610 1.22 16.902 9.15061
620 1.24 16.8667 9.12518
630 1.26 16.8309 9.09924
640 1.28 16.7944 9.07272
650 1.3 16.7574 9.0456
660 1.32 16.7197 9.01792
670 1.34 16.6817 8.98977
680 1.36 16.6432 8.96125
690 1.38 16.6045 8.93249
700 1.4 16.5658 8.90363
710 1.42 16.527 8.87476
720 1.44 16.4884 8.84598
730 1.46 16.4499 8.81732
740 1.48 16.4116 8.78879
750 1.5 16.3734 8.76032
760 1.52 16.3353 8.73184
770 1.54 16.2971 8.70321
780 1.56 16.2588 8.67426
790 1.58 16.2201 8.64484
800 1.6 16.1811 8.61499
810 1.62 16.1427 8.58549
820 1.64 16.1075 8.55986
830 1.66 16.0825 8.54735
840 1.68 16.0736 8.55707
850 1.7 16.0744 8.58268
860 1.72 16.0727 8.61127
870 1.74 16.0577 8.63501
880 1.76 16.026 8.65235
890 1.78 15.9835 8.66584
900 1.8 15.9372 8.67768
910 1.82 15.8904 8.68875
920 1.84 15.8441 8.6993
930 1.86 15.7986 8.70942
940 1.88 15.7537 8.71918
950 1.9 15.7095 8.72862
960 1.92 15.6657 8.7378
970 1.94 15.6223 8.74677
980 1.96 15.5793 8.75559
990 1.98 15.5366 8.7643
1000 2 15.4943 8.77294
1010 2.02 15.4522 8.78155
1020 2.04 15.4105 8.79016
1030 2.06 15.3689 8.79881
1040 2.08 15.3276 8.80753
1050 2.1 15.2864 8.81635
1060 2.12 15.2454 8.82529
1070 2.14 15.2043 8.83438
1080 2.16 15.1633 8.84362
1090 2.18 15.1221 8.85303
1100 2.2 15.0809 8.86261
1110 2.22 15.0395 8.87233
1120 2.24 14.9979 8.88221
1130 2.26 14.9562 8.89222
1140 2.28 14.9143 8.90236
1150 2.3 14.8722 8.91266
1160 2.32 14.83 8.92312
1170 2.34 14.7876 8.9338
1180 2.36 14.745 8.94472
1190 2.38 14.702 8.95595
1200 2.4 14.6587 8.96753
1210 2.42 14.6147 8.97952
1220 2.44 14.5701 8.99193
1230 2.46 14.5251 9.00469
1240 2.48 14.4814 9.01731
1250 2.5 14.4451 9.02794
1260 2.52 14.4293 9.03241
1270 2.54 14.4402 9.0282
1280 2.56 14.4668 9.01875
1290 2.58 14.498 9.00781
1300 2.6 14.5297 8.9969
1310 2.62 14.5609 8.98641
1320 2.64 14.5915 8.9764
1330 2.66 14.6217 8.96682
1340 2.68 14.6516 8.95763
1350 2.7 14.6815 8.94878
1360 2.72 14.7115 8.94026
1370 2.74 14.7416 8.93204
1380 2.76 14.7719 8.92413
1390 2.78 14.8025 8.91652
1400 2.8 14.8334 8.90922
1410 2.82 14.8647 8.90224
1420 2.84 14.8963 8.89559
1430 2.86 14.9283 8.88929
1440 2.88 14.9607 8.88334
1450 2.9 14.9934 8.87776
1460 2.92 15.0266 8.87256
1470 2.94 15.0602 8.86773
1480 2.96 15.0941 8.86326
1490 2.98 15.1284 8.85914
1500 3 15.1631 8.85533
1510 3.02 15.1982 8.85176
1520 3.04 15.2337 8.84837
