iter,max_change,S,max_abs_res,rms_res
0,0.0815283,-3.4371,18.168,9.38073
1,0.0750982,-6.37362,16.7176,8.63785
2,0.069158,-8.88254,15.3997,7.95313
3,0.0636719,-11.027,14.2361,7.32212
4,0.0586061,-12.8608,13.1622,6.74065
5,0.053863,-14.4298,12.1686,6.20488
6,0.0494509,-15.7732,11.2473,5.71123
7,0.0457811,-16.9241,10.3919,5.25643
8,0.0424322,-17.9108,9.5971,4.83745
9,0.0393024,-18.7574,8.85818,4.45148
10,0.0363777,-19.4844,8.17118,4.09597
11,0.0336455,-20.1093,7.53253,3.76853
12,0.0310946,-20.6468,6.939,3.46697
13,0.0287144,-21.1097,6.38764,3.18928
14,0.0264952,-21.5088,5.87573,2.93359
15,0.0244276,-21.8531,5.4007,2.69819
16,0.0225029,-22.1506,4.9602,2.48148
17,0.0207126,-22.408,4.55198,2.28202
18,0.0190489,-22.6309,4.17394,2.09845
19,0.017504,-22.8242,3.82409,1.92952
20,0.0160707,-22.9921,3.50253,1.77408
21,0.014742,-23.1382,3.21205,1.63108
22,0.0135114,-23.2653,2.94753,1.49954
23,0.0123725,-23.3763,2.70925,1.37855
24,0.0113193,-23.4732,2.49482,1.26729
25,0.0103463,-23.558,2.2967,1.16497
26,0.00944807,-23.6323,2.11371,1.07091
27,0.00865021,-23.6976,1.94474,0.984436
28,0.0079405,-23.7549,1.78876,0.904951
29,0.00732146,-23.8054,1.64484,0.8319
30,0.00675446,-23.8499,1.51207,0.76477
31,0.00622977,-23.8893,1.38963,0.703087
32,0.00574437,-23.9241,1.27676,0.646416
33,0.00529548,-23.9549,1.17275,0.594355
34,0.00488047,-23.9823,1.07692,0.546535
35,0.00449691,-24.0066,0.990725,0.502613
36,0.00416056,-24.0282,0.91497,0.462275
37,0.00385593,-24.0475,0.848012,0.425233
38,0.00357487,-24.0647,0.78738,0.391218
39,0.00331546,-24.0801,0.731313,0.359986
40,0.00307596,-24.0938,0.679452,0.33131
41,0.00285475,-24.1061,0.631466,0.304982
42,0.00265036,-24.1172,0.587052,0.280811
43,0.00246144,-24.1271,0.545931,0.258619
44,0.00228676,-24.136,0.507849,0.238245
45,0.0021252,-24.144,0.472569,0.21954
46,0.0019757,-24.1511,0.439875,0.202366
47,0.00183733,-24.1576,0.409568,0.186597
48,0.00170922,-24.1634,0.381466,0.172117
49,0.00159055,-24.1687,0.355401,0.158819
50,0.0014806,-24.1734,0.331216,0.146606
51,0.00137869,-24.1777,0.30877,0.135387
52,0.00128421,-24.1816,0.287932,0.12508
