iter,max_change,S,max_abs_res,rms_res
0,0.415818,-11.1043,59.6418,9.46617
1,0.302146,-15.5934,56.0964,8.27084
2,0.236611,-18.0527,42.8547,7.15935
3,0.186253,-19.6394,37.7811,6.21956
4,0.166028,-20.786,31.6845,5.42303
5,0.148882,-21.6625,28.6929,4.7434
6,0.167607,-22.3445,24.1589,4.16121
7,0.148188,-22.8728,21.5196,3.66046
8,0.107558,-23.2736,18.2181,3.22735
9,0.0922622,-23.5678,16.2636,2.85
10,0.0870003,-23.7741,13.8584,2.51874
11,0.0759806,-23.9104,12.3793,2.2261
12,0.0659704,-23.9933,10.5854,1.96667
13,0.0561922,-24.0384,9.46377,1.73667
14,0.0460107,-24.0587,8.11891,1.53334
15,0.0437595,-24.0649,7.26211,1.35435
16,0.0427647,-24.0649,6.24627,1.19743
17,0.0413433,-24.064,5.59105,1.06011
18,0.0395032,-24.0654,4.8192,0.939744
19,0.0374498,-24.0706,4.31563,0.833683
20,0.0347252,-24.0798,3.72731,0.739498
21,0.0320059,-24.0926,3.33907,0.655183
22,0.0286208,-24.108,2.88893,0.579259
23,0.0254141,-24.1251,2.58899,0.510773
24,0.0217243,-24.1427,2.24322,0.449191
25,0.0184065,-24.16,2.01083,0.394238
26,0.0163952,-24.1761,1.74437,0.345723
27,0.0153753,-24.1906,1.56374,0.303386
28,0.0143603,-24.2029,1.35784,0.266795
29,0.0136199,-24.2129,1.21708,0.23531
30,0.0126119,-24.2205,1.05762,0.208136
31,0.0117584,-24.2254,0.947765,0.184417
32,0.0106573,-24.2283,0.824081,0.163306
33,0.00966334,-24.2302,0.738341,0.14401
34,0.00846057,-24.2313,0.642398,0.125972
35,0.00737215,-24.2307,0.575666,0.109028
36,0.0061414,-24.2284,0.501647,0.0933025
37,0.00505883,-24.2248,0.450329,0.0791253
38,0.00390229,-24.2209,0.393528,0.0668319
39,0.00292939,-24.2175,0.353441,0.0566114
40,0.0019557,-24.2152,0.308063,0.0483865
41,0.00186415,-24.2141,0.275145,0.0418022
42,0.00188693,-24.2138,0.238585,0.0363624
43,0.00178165,-24.2141,0.21208,0.031633
44,0.00161851,-24.2148,0.183394,0.0273684
45,0.00136628,-24.2155,0.162702,0.0235039
46,0.00111661,-24.2163,0.140948,0.0200713
47,0.000836039,-24.2169,0.125373,0.0171161
48,0.000605421,-24.2173,0.109293,0.0146446
49,0.000388519,-24.2175,0.0978651,0.0126088
50,0.000343696,-24.2176,0.0861252,0.0109222
51,0.00035912,-24.2176,0.0778373,0.0094913
52,0.000342973,-24.2176,0.0692384,0.00824245
53,0.000313783,-24.2175,0.0632019,0.00713252
54,0.000262676,-24.2174,0.0567627,0.00614411
55,0.000213095,-24.2173,0.0522489,0.00527322
56,0.000154684,-24.2173,0.0472115,0.00451645
57,0.000116696,-24.2172,0.043646,0.00386282
58,0.000125111,-24.2172,0.0394541,0.00329232
59,0.000130125,-24.2173,0.0364141,0.00278025
60,0.000131329,-24.2173,0.0326971,0.00230393
61,0.000127115,-24.2173,0.0299166,0.00184764
62,0.000118322,-24.2173,0.0354604,0.00140351
63,0.000140249,-24.2173,0.0218936,0.000806958
64,8.65909e-05,-24.2173,0.010362,0.000402747
65,4.09825e-05,-24.2173,0.00390774,0.0001788
66,1.54554e-05,-24.2173,0.00115187,9.1774e-05
67,4.56994e-06,-24.2173,0.000344492,6.67936e-05
68,4.62326e-06,-24.2173,0.00014611,5.76525e-05
69,3.81597e-06,-24.2173,0.000135863,5.10549e-05
70,3.47704e-06,-24.2173,0.000117708,4.52535e-05
71,3.03377e-06,-24.2173,0.000108988,3.9968e-05
72,2.65483e-06,-24.2173,9.40903e-05,3.51601e-05
73,2.28519e-06,-24.2173,8.42161e-05,3.0794e-05
74,1.98104e-06,-24.2173,7.16751e-05,2.68744e-05
75,1.7213e-06,-24.2173,6.22673e-05,2.33803e-05
76,1.58309e-06,-24.2173,5.48212e-05,2.03052e-05
77,1.42455e-06,-24.2173,5.02949e-05,1.76289e-05
78,1.28667e-06,-24.2173,4.65869e-05,1.533e-05
79,1.13734e-06,-24.2173,4.21024e-05,1.33764e-05
80,1.0088e-06,-24.2173,3.84013e-05,1.1731e-05
81,8.76351e-07,-24.2173,3.42762e-05,1.0348e-05
82,7.62907e-07,-24.2173,3.08371e-05,9.18031e-06
83,6.52452e-07,-24.2173,2.72174e-05,8.18016e-06
84,5.58699e-07,-24.2173,2.42485e-05,7.30686e-06
85,4.73134e-07,-24.2173,2.12008e-05,6.528e-06
