total_iter,N,S
1,4,-124.761
2,4,-25.8568
3,4,-92.1772
4,4,-51.3394
5,4,-80.7653
6,4,-51.4878
7,4,-91.9627
8,4,-42.2984
9,4,-95.2145
10,4,-48.0767
11,4,-83.5649
12,4,-60.5035
13,4,-74.6949
14,4,-63.7702
15,4,-77.0264
16,4,-59.5996
17,4,-80.3499
18,4,-59.5716
19,4,-77.1492
20,4,-64.5488
21,4,-72.4077
22,4,-67.4343
23,4,-71.9703
24,4,-66.1824
25,4,-73.7175
26,4,-65.2604
27,4,-73.2988
28,4,-66.8464
29,4,-71.239
30,4,-68.5657
31,4,-70.4037
32,4,-68.481
33,4,-71.0393
34,4,-67.8582
35,4,-71.2531
36,4,-68.1916
37,4,-70.5189
38,4,-69.0099
39,4,-69.9298
40,4,-69.2163
41,4,-70.0567
42,4,-68.9452
43,4,-70.2697
44,4,-68.9275
45,4,-70.073
46,4,-69.2494
47,4,-69.7637
48,4,-69.4377
49,4,-69.7287
50,4,-69.3606
51,4,-69.839
52,4,-69.2955
53,4,-69.8167
54,4,-69.3966
55,4,-69.6837
56,4,-69.5078
57,4,-69.6277
58,4,-69.5052
59,4,-69.6669
60,4,-69.4635
61,4,-69.6825
62,4,-69.4841
63,4,-69.6357
64,4,-69.5365
65,4,-69.5971
66,4,-69.5512
67,4,-69.6043
68,4,-69.5335
69,4,-69.6185
70,4,-69.532
71,4,-69.6063
72,4,-69.5523
73,4,-69.5863
74,4,-69.565
75,4,-69.5835
76,4,-69.5601
77,4,-69.5907
78,4,-69.5559
79,4,-69.5895
80,4,-69.5621
81,4,-69.581
82,4,-69.5694
83,4,-69.5772
84,4,-69.5693
85,4,-69.5797
86,4,-69.5667
87,4,-69.5807
88,4,-69.5679
89,4,-69.5778
90,4,-69.5713
91,4,-69.5752
92,4,-69.5723
93,4,-69.5757
94,4,-69.5712
95,4,-69.5766
96,4,-69.571
97,4,-69.5758
98,4,-69.5723
99,4,-69.5745
100,4,-69.5732
101,4,-69.5743
102,4,-69.5729
103,4,-69.5748
104,4,-69.5726
105,4,-69.5747
106,4,-69.573
107,4,-69.5742
108,4,-69.5734
109,4,-69.5739
110,4,-69.5734
111,4,-69.5741
112,4,-69.5733
113,4,-69.5742
114,4,-69.5733
115,4,-69.574
116,4,-69.5736
117,4,-69.5738
118,4,-69.5736
119,4,-69.5738
120,4,-69.5736
121,4,-69.5739
122,4,-69.5735
123,4,-69.5739
124,4,-69.5736
125,4,-69.5738
126,4,-69.5737
127,4,-69.5738
128,4,-69.5737
129,4,-69.5738
130,4,-69.5736
131,4,-69.5738
132,4,-69.5737
133,4,-69.5738
134,4,-69.5737
135,4,-69.5737
136,4,-69.5737
137,4,-69.5737
138,4,-69.5737
139,4,-69.5738
140,4,-69.5737
141,4,-69.5737
142,4,-69.5737
143,4,-69.5737
144,4,-69.5737
145,4,-69.5737
146,4,-69.5737
147,4,-69.5737
148,4,-69.5737
149,4,-69.5737
150,4,-69.5737
151,4,-69.5737
152,4,-69.5737
153,4,-69.5737
154,4,-69.5737
155,4,-69.5737
156,4,-69.5737
157,4,-69.5737
158,4,-69.5737
159,4,-69.5737
160,4,-69.5737
161,4,-69.5737
162,4,-69.5737
163,4,-69.5737
164,4,-69.5737
165,4,-69.5737
166,4,-69.5737
167,4,-69.5737
168,4,-69.5737
169,4,-69.5737
170,4,-69.5737
171,4,-69.5737
172,4,-69.5737
173,4,-69.5737
174,4,-69.5737
175,4,-69.5737
176,4,-69.5737
177,4,-69.5737
178,4,-69.5737
179,4,-69.5737
180,4,-69.5737
181,4,-69.5737
182,4,-69.5737
183,4,-69.5737
184,4,-69.5737
185,4,-69.5737
186,4,-69.5737
187,4,-69.5737
188,4,-69.5737
189,4,-69.5737
190,4,-69.5737
191,4,-69.5737
192,4,-69.5737
193,4,-69.5737
194,4,-69.5737
195,4,-69.5737
196,4,-69.5737
197,4,-69.5737
198,4,-69.5737
199,4,-69.5737
200,4,-69.5737
201,4,-69.5737
202,4,-69.5737
203,4,-69.5737
204,4,-69.5737
205,4,-69.5737
206,8,-38.3883
207,8,-34.4569
208,8,-35.4108
209,8,-34.5322
210,8,-35.8304
211,8,-35.4497
212,8,-35.1486
213,8,-37.7776
214,8,-37.101
215,8,-34.8253
216,8,-35.9589
217,8,-37.7151
218,8,-37.0203
219,8,-36.7537
220,8,-35.831
221,8,-37.4114
222,8,-36.7965
223,8,-37.0163
224,8,-36.8031
225,8,-37.0333
226,8,-36.94
227,8,-36.4
228,8,-37.5457
229,8,-36.9917
230,8,-36.85
231,8,-36.6348
232,8,-37.1884
233,8,-37.1544
234,8,-36.8824
235,8,-36.8302
236,8,-37.1498
237,8,-36.8005
238,8,-37.1244
239,8,-36.9371
240,8,-37.0306
241,8,-36.8998
242,8,-36.9697
243,8,-37.0423
244,8,-36.9807
245,8,-36.9955
246,8,-36.9135
247,8,-37.0202
248,8,-36.9899
249,8,-36.9853
250,8,-36.9837
251,8,-36.9783
252,8,-36.9662
253,8,-36.9899
254,8,-37.0036
255,8,-36.9846
256,8,-36.9552
257,8,-36.9896
258,8,-37.0011
259,8,-36.971
260,8,-36.9914
261,8,-36.9706
262,8,-36.9965
263,8,-36.9698
264,8,-36.993
265,8,-36.9849
266,8,-36.981
267,8,-36.9781
268,8,-36.9851
269,8,-36.9878
270,8,-36.9842
271,8,-36.9783
272,8,-36.9832
273,8,-36.9864
274,8,-36.9833
275,8,-36.9822
276,8,-36.9834
