total_iter,N,S
1,16,-16.4367
2,16,-19.183
3,16,-21.3996
4,16,-23.8948
5,16,-24.6169
6,16,-24.3321
7,16,-23.7669
8,16,-23.4373
9,16,-23.5343
10,16,-24.018
11,16,-24.7654
12,16,-25.622
13,16,-26.3952
14,16,-26.903
15,16,-27.0708
16,16,-26.9335
17,16,-26.9472
18,16,-26.8983
19,16,-26.4786
20,16,-26.5523
21,16,-26.9969
22,16,-27.222
23,16,-27.3827
24,16,-27.4955
25,16,-27.4801
26,16,-27.3831
27,16,-27.3298
28,16,-27.3324
29,16,-27.3366
30,16,-27.3379
31,16,-27.3366
32,16,-27.2937
33,16,-27.3882
34,16,-27.3409
35,16,-27.5206
36,16,-27.3872
37,16,-27.4959
38,16,-27.4041
39,16,-27.3956
40,16,-27.3717
41,16,-27.3416
42,16,-27.3537
43,16,-27.3725
44,16,-27.4203
45,16,-27.4411
46,16,-27.4403
47,16,-27.422
48,16,-27.4016
49,16,-27.3855
50,16,-27.3818
51,16,-27.392
52,16,-27.3884
53,16,-27.4054
54,16,-27.4196
55,16,-27.4022
56,16,-27.4132
57,16,-27.408
58,16,-27.3965
59,16,-27.4025
60,16,-27.4002
61,16,-27.4006
62,16,-27.4025
63,16,-27.4025
64,16,-27.4009
65,16,-27.4031
66,16,-27.4043
67,16,-27.4065
68,16,-27.4049
69,16,-27.4047
70,16,-27.4004
71,16,-27.4021
72,16,-27.4011
73,16,-27.403
74,16,-27.4017
75,16,-27.4038
76,16,-27.4042
77,16,-27.4038
78,16,-27.4034
79,16,-27.4036
80,16,-27.4028
81,16,-27.4022
82,16,-27.4026
83,16,-27.4025
84,16,-27.4029
85,16,-27.4033
86,16,-27.4032
87,16,-27.4035
88,16,-27.4032
89,16,-27.403
90,16,-27.4031
91,16,-27.4026
92,16,-27.4029
93,16,-27.4028
94,16,-27.403
95,16,-27.4032
96,16,-27.4031
97,16,-27.4031
98,16,-27.4031
99,16,-27.4031
100,16,-27.403
101,16,-27.403
102,16,-27.403
103,16,-27.403
104,16,-27.403
105,16,-27.4031
106,16,-27.403
107,16,-27.403
108,16,-27.403
109,16,-27.4031
110,16,-27.403
111,16,-27.403
112,16,-27.403
113,16,-27.403
114,16,-27.403
115,16,-27.403
116,16,-27.403
117,16,-27.403
118,16,-27.403
119,16,-27.403
120,16,-27.403
121,16,-27.403
122,16,-27.403
123,16,-27.403
124,16,-27.403
125,16,-27.403
126,16,-27.403
127,16,-27.403
128,16,-27.403
129,16,-27.403
130,16,-27.403
131,16,-27.403
132,16,-27.403
133,16,-27.403
134,16,-27.403
135,16,-27.403
136,16,-27.403
137,16,-27.403
138,16,-27.403
139,16,-27.403
140,16,-27.403
141,16,-27.403
142,16,-27.403
143,16,-27.403
144,16,-27.403
145,16,-27.403
146,16,-27.403
147,16,-27.403
148,16,-27.403
149,16,-27.403
150,16,-27.403
151,16,-27.403
152,16,-27.403
153,16,-27.403
154,16,-27.403
155,16,-27.403
156,16,-27.403
157,16,-27.403
158,16,-27.403
159,16,-27.403
160,16,-27.403
161,16,-27.403
162,16,-27.403
163,16,-27.403
164,16,-27.403
165,16,-27.403
166,16,-27.403
167,16,-27.403
168,16,-27.403
169,16,-27.403
170,16,-27.403
171,16,-27.403
172,16,-27.403
