omega,iterations,max_abs_res,S_error,max_abs_error
1,6380,9.99187e-09,0.386799,0.000451917
1.05,5909,9.9832e-09,0.386799,0.000451917
1.1,5474,9.99856e-09,0.386799,0.000451917
1.15,5072,9.99506e-09,0.386799,0.000451917
1.2,4698,9.98172e-09,0.386799,0.000451917
1.25,4347,9.99834e-09,0.386799,0.000451916
1.3,4019,9.98098e-09,0.386799,0.000451916
1.35,3710,9.97622e-09,0.386799,0.000451916
1.4,3419,9.99251e-09,0.386799,0.000451915
1.45,3148,9.98801e-09,0.386799,0.000451915
1.5,2900,9.97121e-09,0.386799,0.000451914
1.55,2681,9.99849e-09,0.386799,0.000451913
1.6,2503,9.99024e-09,0.386799,0.000451913
1.65,2345,9.98858e-09,0.386799,0.000451913
1.7,2166,9.9989e-09,0.386799,0.000451913
1.75,1954,9.96621e-09,0.386799,0.000451913
1.8,1703,9.96189e-09,0.386799,0.000451913
1.85,1407,9.93659e-09,0.386799,0.000451913
1.9,1048,9.92773e-09,0.386799,0.000451913
