t,I,st,difference,relative_difference,center,max_u
0,0,0,0,0,0,0
0.125,0.00125,0.00125,0,0,0.00125,0.00125
0.25,0.0025,0.0025,0,0,0.001875,0.001875
0.375,0.00375,0.00375,0,0,0.002265625,0.002265625
0.5,0.005,0.005,8.67361737988404e-19,1.73472347597681e-16,0.0025390625,0.0025390625
0.625,0.00625,0.00625,-8.67361737988404e-19,-1.38777878078145e-16,0.002745361328125,0.002745361328125
0.75,0.00749999999999999,0.0075,-5.20417042793042e-18,-6.93889390390723e-16,0.0029095458984375,0.0029095458984375
0.875,0.00875,0.00875,3.46944695195361e-18,3.96508223080413e-16,0.00304542541503906,0.00304542541503906
1,0.01,0.01,8.67361737988404e-18,8.67361737988404e-16,0.00316120147705078,0.00316120147705078
1.125,0.01125,0.01125,0,0,0.00326204568147659,0.00326204568147659
1.25,0.0125,0.0125,3.46944695195361e-18,2.77555756156289e-16,0.00335138842463493,0.00335138842463493
1.375,0.01375,0.01375,-1.73472347597681e-17,-1.26161707343768e-15,0.00343160593882203,0.00343160593882203
1.5,0.015,0.015,0,0,0.00350440644659102,0.00350440644659102
1.625,0.01625,0.01625,-2.42861286636753e-17,-1.49453099468771e-15,0.00357105742703425,0.00357105742703425
1.75,0.0175,0.0175,6.93889390390723e-18,3.96508223080413e-16,0.00363252499126247,0.00363252499126247
1.875,0.01875,0.01875,3.46944695195361e-17,1.85037170770859e-15,0.00368956259824699,0.00368956259824699
2,0.02,0.02,-3.46944695195361e-17,-1.73472347597681e-15,0.003742769459177,0.003742769459177
2.125,0.02125,0.02125,0,0,0.0037926301723782,0.0037926301723782
2.25,0.0225000000000001,0.0225,5.20417042793042e-17,2.31296463463574e-15,0.00383954236318668,0.00383954236318668
2.375,0.02375,0.02375,1.04083408558608e-17,4.38245930773088e-16,0.00388383643299817,0.00388383643299817
2.5,0.025,0.025,1.38777878078145e-17,5.55111512312578e-16,0.00392578997853065,0.00392578997853065
2.625,0.02625,0.02625,3.81639164714898e-17,1.45386348462818e-15,0.00396563852384392,0.00396563852384392
2.75,0.0274999999999999,0.0275,-5.20417042793042e-17,-1.89242561015652e-15,0.00400358364564328,0.00400358364564328
2.875,0.02875,0.02875,4.5102810375397e-17,1.56879340436163e-15,0.00403979921945792,0.00403979921945792
3,0.03,0.03,3.12250225675825e-17,1.04083408558608e-15,0.00407443628720228,0.00407443628720228
3.125,0.03125,0.03125,-6.93889390390723e-18,-2.22044604925031e-16,0.0041076268971888,0.0041076268971888
3.25,0.0324999999999999,0.0325,-8.32667268468867e-17,-2.56205313375036e-15,0.00413948716724077,0.00413948716724077
3.375,0.0337499999999999,0.03375,-8.32667268468867e-17,-2.46716227694479e-15,0.00417011975276579,0.00417011975276579
3.5,0.0350000000000001,0.035,6.93889390390723e-17,1.98254111540206e-15,0.00419961585368903,0.00419961585368903
3.625,0.03625,0.03625,6.93889390390723e-18,1.91417762866406e-16,0.00422805686016038,0.00422805686016038
3.75,0.0375000000000002,0.0375,1.52655665885959e-16,4.07081775695891e-15,0.00425551571250692,0.00425551571250692
