# basis N state nx ny E_numerical E_exact abs_error
bilinear 2 1 1 1 0.480000000000 0.394784176044 0.085215823956
bilinear 3 1 1 1 0.432000000000 0.394784176044 0.037215823956
bilinear 3 2 1 2 1.296000000000 0.986960440109 0.309039559891
bilinear 3 3 2 1 1.296000000000 0.986960440109 0.309039559891
bilinear 3 4 2 2 2.160000000000 1.579136704174 0.580863295826
bilinear 4 1 1 1 0.415465680209 0.394784176044 0.020681504165
bilinear 4 2 1 2 1.167732840104 0.986960440109 0.180772399995
bilinear 4 3 2 1 1.167732840104 0.986960440109 0.180772399995
bilinear 4 4 2 2 1.920000000000 1.579136704174 0.340863295826
bilinear 4 5 1 3 2.742857142857 1.973920880218 0.768936262639
bilinear 4 6 3 1 2.742857142857 1.973920880218 0.768936262639
bilinear 4 7 2 3 3.495124302753 2.566097144283 0.929027158469
bilinear 4 8 3 2 3.495124302753 2.566097144283 0.929027158469
bilinear 4 9 1 4 5.070248605505 3.355665496370 1.714583109135
bilinear 5 1 1 1 0.407935600263 0.394784176044 0.013151424220
bilinear 5 2 1 2 1.101730363995 0.986960440109 0.114769923887
bilinear 5 3 2 1 1.101730363995 0.986960440109 0.114769923887
bilinear 5 4 2 2 1.795525127728 1.579136704174 0.216388423553
bilinear 5 5 1 3 2.526315789474 1.973920880218 0.552394909256
bilinear 5 6 3 1 2.526315789474 1.973920880218 0.552394909256
bilinear 5 7 2 3 3.220110553206 2.566097144283 0.654013408923
bilinear 5 8 3 2 3.220110553206 2.566097144283 0.654013408923
bilinear 5 9 1 4 4.644695978684 3.355665496370 1.289030482314
bilinear 5 10 4 1 4.760750690813 3.355665496370 1.405085194443
bilinear 6 1 1 1 0.403883548895 0.394784176044 0.009099372851
bilinear 6 2 1 2 1.065941774447 0.986960440109 0.078981334338
bilinear 6 3 2 1 1.065941774447 0.986960440109 0.078981334338
bilinear 6 4 2 2 1.728000000000 1.579136704174 0.148863295826
bilinear 6 5 1 3 2.361941774447 1.973920880218 0.388020894229
bilinear 6 6 3 1 2.361941774447 1.973920880218 0.388020894229
bilinear 6 7 2 3 3.024000000000 2.566097144283 0.457902855717
bilinear 6 8 3 2 3.024000000000 2.566097144283 0.457902855717
bilinear 6 9 1 4 4.320000000000 3.355665496370 0.964334503630
bilinear 6 10 4 1 4.521941774447 3.355665496370 1.166276278077
bilinear 8 1 1 1 0.399883226250 0.394784176044 0.005099050206
bilinear 8 2 1 2 1.030872973543 0.986960440109 0.043912533434
bilinear 8 3 2 1 1.030872973543 0.986960440109 0.043912533434
bilinear 8 4 2 2 1.661862720835 1.579136704174 0.082726016661
bilinear 8 5 1 3 2.189711288373 1.973920880218 0.215790408155
bilinear 8 6 3 1 2.189711288373 1.973920880218 0.215790408155
bilinear 8 7 2 3 2.820701035666 2.566097144283 0.254603891383
bilinear 8 8 3 2 2.820701035666 2.566097144283 0.254603891383
bilinear 8 9 1 4 3.979539350496 3.355665496370 0.623873854126
bilinear 8 10 4 1 4.039941613125 3.355665496370 0.684276116755
bilinear 10 1 1 1 0.398041719103 0.394784176044 0.003257543059
bilinear 10 2 1 2 1.014892060078 0.986960440109 0.027931619969
bilinear 10 3 2 1 1.014892060078 0.986960440109 0.027931619969
bilinear 10 4 2 2 1.631742401053 1.579136704174 0.052605696879
bilinear 10 5 1 3 2.110530699137 1.973920880218 0.136609818919
bilinear 10 6 3 1 2.110530699137 1.973920880218 0.136609818919
bilinear 10 7 2 3 2.727381040112 2.566097144283 0.161283895829
bilinear 10 8 3 2 2.727381040112 2.566097144283 0.161283895829
bilinear 10 9 1 4 3.790071115007 3.355665496370 0.434405618636
bilinear 10 10 4 1 3.790071115007 3.355665496370 0.434405618636
