# basis N state nx ny E_numerical E_exact abs_error
biparabolic 2 1 1 1 0.397753871859 0.394784176044 0.002969695816
biparabolic 2 2 1 2 0.998876935930 0.986960440109 0.011916495821
biparabolic 2 3 2 1 0.998876935930 0.986960440109 0.011916495821
biparabolic 2 4 2 2 1.600000000000 1.579136704174 0.020863295826
biparabolic 2 5 1 3 2.773333333333 1.973920880218 0.799412453115
biparabolic 2 6 3 1 2.773333333333 1.973920880218 0.799412453115
biparabolic 2 7 2 3 3.374456397404 2.566097144283 0.808359253121
biparabolic 2 8 3 2 3.374456397404 2.566097144283 0.808359253121
biparabolic 2 9 1 4 5.148912794807 3.355665496370 1.793247298437
biparabolic 3 1 1 1 0.395408473520 0.394784176044 0.000624297476
biparabolic 3 2 1 2 1.004567667701 0.986960440109 0.017607227592
biparabolic 3 3 2 1 1.004567667701 0.986960440109 0.017607227592
biparabolic 3 4 2 2 1.613726861883 1.579136704174 0.034590157708
biparabolic 3 5 1 3 1.997704236760 1.973920880218 0.023783356542
biparabolic 3 6 3 1 1.997704236760 1.973920880218 0.023783356542
biparabolic 3 7 2 3 2.606863430941 2.566097144283 0.040766286658
biparabolic 3 8 3 2 2.606863430941 2.566097144283 0.040766286658
biparabolic 3 9 1 4 3.600000000000 3.355665496370 0.244334503630
biparabolic 3 10 4 1 4.327983662962 3.355665496370 0.972318166591
biparabolic 4 1 1 1 0.394986361026 0.394784176044 0.000202184982
biparabolic 4 2 1 2 0.993000924231 0.986960440109 0.006040484122
biparabolic 4 3 2 1 0.993000924231 0.986960440109 0.006040484122
biparabolic 4 4 2 2 1.591015487437 1.579136704174 0.011878783262
biparabolic 4 5 1 3 2.033186461296 1.973920880218 0.059265581078
biparabolic 4 6 3 1 2.033186461296 1.973920880218 0.059265581078
biparabolic 4 7 2 3 2.631201024502 2.566097144283 0.065103880219
biparabolic 4 8 3 2 2.631201024502 2.566097144283 0.065103880219
biparabolic 4 9 1 4 3.397493180513 3.355665496370 0.041827684142
biparabolic 4 10 4 1 3.397493180513 3.355665496370 0.041827684142
biparabolic 5 1 1 1 0.394867915595 0.394784176044 0.000083739552
biparabolic 5 2 1 2 0.989533648893 0.986960440109 0.002573208784
biparabolic 5 3 2 1 0.989533648893 0.986960440109 0.002573208784
biparabolic 5 4 2 2 1.584199382192 1.579136704174 0.005062678017
biparabolic 5 5 1 3 2.000414354868 1.973920880218 0.026493474650
biparabolic 5 6 3 1 2.000414354868 1.973920880218 0.026493474650
biparabolic 5 7 2 3 2.595080088166 2.566097144283 0.028982943883
biparabolic 5 8 3 2 2.595080088166 2.566097144283 0.028982943883
biparabolic 5 9 1 4 3.486629163948 3.355665496370 0.130963667578
biparabolic 5 10 4 1 3.486629163948 3.355665496370 0.130963667578
biparabolic 6 1 1 1 0.394824807773 0.394784176044 0.000040631729
biparabolic 6 2 1 2 0.988229350927 0.986960440109 0.001268910818
biparabolic 6 3 2 1 0.988229350927 0.986960440109 0.001268910818
biparabolic 6 4 2 2 1.581633894080 1.579136704174 0.002497189906
biparabolic 6 5 1 3 1.987304827253 1.973920880218 0.013383947035
biparabolic 6 6 3 1 1.987304827253 1.973920880218 0.013383947035
biparabolic 6 7 2 3 2.580709370406 2.566097144283 0.014612226123
biparabolic 6 8 3 2 2.580709370406 2.566097144283 0.014612226123
biparabolic 6 9 1 4 3.424866127652 3.355665496370 0.069200631281
biparabolic 6 10 4 1 3.424866127652 3.355665496370 0.069200631281
biparabolic 8 1 1 1 0.394797111576 0.394784176044 0.000012935532
biparabolic 8 2 1 2 0.987371277839 0.986960440109 0.000410837730
biparabolic 8 3 2 1 0.987371277839 0.986960440109 0.000410837730
biparabolic 8 4 2 2 1.579945444103 1.579136704174 0.000808739928
biparabolic 8 5 1 3 1.978366081511 1.973920880218 0.004445201293
biparabolic 8 6 3 1 1.978366081511 1.973920880218 0.004445201293
biparabolic 8 7 2 3 2.570940247774 2.566097144283 0.004843103491
biparabolic 8 8 3 2 2.570940247774 2.566097144283 0.004843103491
biparabolic 8 9 1 4 3.379429530661 3.355665496370 0.023764034291
biparabolic 8 10 4 1 3.379429530661 3.355665496370 0.023764034291
biparabolic 10 1 1 1 0.394789489683 0.394784176044 0.000005313639
biparabolic 10 2 1 2 0.987130576032 0.986960440109 0.000170135923
biparabolic 10 3 2 1 0.987130576032 0.986960440109 0.000170135923
biparabolic 10 4 2 2 1.579471662380 1.579136704174 0.000334958206
biparabolic 10 5 1 3 1.975785267842 1.973920880218 0.001864387624
biparabolic 10 6 3 1 1.975785267842 1.973920880218 0.001864387624
biparabolic 10 7 2 3 2.568126354191 2.566097144283 0.002029209908
biparabolic 10 8 3 2 2.568126354191 2.566097144283 0.002029209908
biparabolic 10 9 1 4 3.365793509225 3.355665496370 0.010128012854
biparabolic 10 10 4 1 3.365793509225 3.355665496370 0.010128012854
