t,norm,energy,x_avg,y_avg
0,1,1.66523,0.470955,-6.60074e-18
0.001,1,1.66523,0.470954,0.000470235
0.002,1,1.66523,0.470954,0.00094047
0.003,1,1.66523,0.470953,0.0014107
0.004,1,1.66523,0.470951,0.00188094
0.005,1,1.66523,0.470949,0.00235117
0.006,1,1.66523,0.470946,0.00282139
0.007,1,1.66523,0.470943,0.00329162
0.008,1,1.66523,0.47094,0.00376184
0.009,1,1.66523,0.470936,0.00423206
0.01,1,1.66523,0.470931,0.00470227
0.011,1,1.66523,0.470926,0.00517248
0.012,1,1.66523,0.470921,0.00564269
0.013,1,1.66523,0.470915,0.00611288
0.014,1,1.66523,0.470909,0.00658308
0.015,1,1.66523,0.470902,0.00705326
0.016,1,1.66523,0.470895,0.00752344
0.017,1,1.66523,0.470887,0.00799361
0.018,1,1.66523,0.470879,0.00846378
0.019,1,1.66523,0.47087,0.00893393
0.02,1,1.66523,0.470861,0.00940408
0.021,1,1.66523,0.470851,0.00987421
0.022,1,1.66523,0.470841,0.0103443
0.023,1,1.66523,0.470831,0.0108145
0.024,1,1.66523,0.47082,0.0112846
0.025,1,1.66523,0.470808,0.0117547
0.026,1,1.66523,0.470796,0.0122247
0.027,1,1.66523,0.470784,0.0126948
0.028,1,1.66523,0.470771,0.0131649
0.029,1,1.66523,0.470757,0.0136349
0.03,1,1.66523,0.470744,0.0141049
0.031,1,1.66523,0.470729,0.014575
0.032,1,1.66523,0.470715,0.015045
0.033,1,1.66523,0.470699,0.0155149
0.034,1,1.66523,0.470684,0.0159849
0.035,1,1.66523,0.470667,0.0164549
0.036,1,1.66523,0.470651,0.0169248
0.037,1,1.66523,0.470634,0.0173947
0.038,1,1.66523,0.470616,0.0178646
0.039,1,1.66523,0.470598,0.0183345
0.04,1,1.66523,0.470579,0.0188044
0.041,1,1.66523,0.47056,0.0192742
0.042,1,1.66523,0.470541,0.0197441
0.043,1,1.66523,0.470521,0.0202139
0.044,1,1.66523,0.470501,0.0206837
0.045,1,1.66523,0.47048,0.0211535
0.046,1,1.66523,0.470458,0.0216232
0.047,1,1.66523,0.470437,0.0220929
0.048,1,1.66523,0.470414,0.0225626
0.049,1,1.66523,0.470392,0.0230323
0.05,1,1.66523,0.470368,0.023502
0.051,1,1.66523,0.470345,0.0239716
0.052,1,1.66523,0.470321,0.0244412
0.053,1,1.66523,0.470296,0.0249108
0.054,1,1.66523,0.470271,0.0253804
0.055,1,1.66523,0.470245,0.0258499
0.056,1,1.66523,0.470219,0.0263194
0.057,1,1.66523,0.470193,0.0267889
0.058,1,1.66523,0.470166,0.0272584
0.059,1,1.66523,0.470138,0.0277278
0.06,1,1.66523,0.470111,0.0281972
0.061,1,1.66523,0.470082,0.0286666
0.062,1,1.66523,0.470053,0.0291359
0.063,1,1.66523,0.470024,0.0296053
0.064,1,1.66523,0.469994,0.0300745
0.065,1,1.66523,0.469964,0.0305438
0.066,1,1.66523,0.469933,0.031013
0.067,1,1.66523,0.469902,0.0314822
0.068,1,1.66523,0.46987,0.0319514
0.069,1,1.66523,0.469838,0.0324205
0.07,1,1.66523,0.469806,0.0328896
0.071,1,1.66523,0.469773,0.0333587
0.072,1,1.66523,0.469739,0.0338277
0.073,1,1.66523,0.469705,0.0342967
0.074,1,1.66523,0.469671,0.0347657
0.075,1,1.66523,0.469636,0.0352346
0.076,1,1.66523,0.4696,0.0357035
0.077,1,1.66523,0.469565,0.0361724
0.078,1,1.66523,0.469528,0.0366412
0.079,1,1.66523,0.469492,0.03711
0.08,1,1.66523,0.469454,0.0375788
0.081,1,1.66523,0.469417,0.0380475
0.082,1,1.66523,0.469378,0.0385162
0.083,1,1.66523,0.46934,0.0389848
0.084,1,1.66523,0.469301,0.0394534
0.085,1,1.66523,0.469261,0.039922
0.086,1,1.66523,0.469221,0.0403905
0.087,1,1.66523,0.46918,0.040859
0.088,1,1.66523,0.469139,0.0413274
0.089,1,1.66523,0.469098,0.0417958
0.09,1,1.66523,0.469056,0.0422642
0.091,1,1.66523,0.469014,0.0427325
0.092,1,1.66523,0.468971,0.0432007
0.093,1,1.66523,0.468927,0.043669
0.094,1,1.66523,0.468884,0.0441372
0.095,1,1.66523,0.468839,0.0446053
0.096,1,1.66523,0.468795,0.0450734
0.097,1,1.66523,0.468749,0.0455414
0.098,1,1.66523,0.468704,0.0460094
0.099,1,1.66523,0.468658,0.0464774
0.1,1,1.66523,0.468611,0.0469453
0.101,1,1.66523,0.468564,0.0474132
0.102,1,1.66523,0.468516,0.047881
0.103,1,1.66523,0.468468,0.0483488
0.104,1,1.66523,0.46842,0.0488165
0.105,1,1.66523,0.468371,0.0492842
0.106,1,1.66523,0.468322,0.0497518
0.107,1,1.66523,0.468272,0.0502194
0.108,1,1.66523,0.468221,0.0506869
0.109,1,1.66523,0.468171,0.0511544
0.11,1,1.66523,0.468119,0.0516218
0.111,1,1.66523,0.468068,0.0520892
0.112,1,1.66523,0.468015,0.0525565
0.113,1,1.66523,0.467963,0.0530238
0.114,1,1.66523,0.46791,0.053491
0.115,1,1.66523,0.467856,0.0539581
0.116,1,1.66523,0.467802,0.0544253
0.117,1,1.66523,0.467747,0.0548923
0.118,1,1.66523,0.467692,0.0553593
0.119,1,1.66523,0.467637,0.0558262
0.12,1,1.66523,0.467581,0.0562931
0.121,1,1.66523,0.467525,0.05676
0.122,1,1.66523,0.467468,0.0572267
0.123,1,1.66523,0.46741,0.0576935
0.124,1,1.66523,0.467353,0.0581601
0.125,1,1.66523,0.467294,0.0586267
0.126,1,1.66523,0.467236,0.0590933
0.127,1,1.66523,0.467176,0.0595598
0.128,1,1.66523,0.467117,0.0600262
0.129,1,1.66523,0.467057,0.0604925
0.13,1,1.66523,0.466996,0.0609588
0.131,1,1.66523,0.466935,0.0614251
0.132,1,1.66523,0.466874,0.0618913
0.133,1,1.66523,0.466812,0.0623574
0.134,1,1.66523,0.466749,0.0628235
0.135,1,1.66523,0.466686,0.0632894
0.136,1,1.66523,0.466623,0.0637554
0.137,1,1.66523,0.466559,0.0642213
0.138,1,1.66523,0.466495,0.0646871
0.139,1,1.66523,0.46643,0.0651528
0.14,1,1.66523,0.466365,0.0656185
0.141,1,1.66523,0.466299,0.0660841
0.142,1,1.66523,0.466233,0.0665496
0.143,1,1.66523,0.466166,0.0670151
0.144,1,1.66523,0.466099,0.0674805
0.145,1,1.66523,0.466032,0.0679459
0.146,1,1.66523,0.465964,0.0684111
0.147,1,1.66523,0.465895,0.0688763
0.148,1,1.66523,0.465826,0.0693415
0.149,1,1.66523,0.465757,0.0698066
