t,norm,energy,x_avg,y_avg
0,1,0.999523,2.10407e-17,-3.83246e-18
0.001,1,0.999523,-1.7654e-17,-4.81771e-18
0.002,1,0.999523,2.49889e-17,1.44037e-18
0.003,1,0.999523,2.49072e-17,-5.02345e-18
0.004,1,0.999523,-5.71808e-17,-4.18171e-18
0.005,1,0.999523,3.85721e-17,4.51402e-18
0.006,1,0.999523,-1.4814e-17,2.96944e-18
0.007,1,0.999523,-1.65127e-17,-1.11426e-18
0.008,1,0.999523,1.55721e-17,4.81565e-18
0.009,1,0.999523,-2.96323e-17,-8.472e-19
0.01,1,0.999523,-1.6183e-17,1.00173e-17
0.011,1,0.999523,-5.33676e-17,4.51978e-18
0.012,1,0.999523,1.54085e-17,-1.48289e-17
0.013,1,0.999523,3.04603e-17,-4.95991e-18
0.014,1,0.999523,-4.93478e-17,-6.44582e-18
0.015,1,0.999523,-2.84864e-17,2.29898e-18
0.016,1,0.999523,-2.41794e-17,-3.5503e-18
0.017,1,0.999523,2.87119e-17,2.33876e-18
0.018,1,0.999523,6.32309e-18,-5.22336e-18
0.019,1,0.999523,1.47098e-17,-4.30962e-18
0.02,1,0.999523,1.08578e-17,-1.14857e-17
0.021,1,0.999523,3.59067e-17,1.33283e-17
0.022,1,0.999523,7.50211e-17,6.81374e-18
0.023,1,0.999523,2.42894e-17,-3.08915e-18
0.024,1,0.999523,-7.2201e-18,3.88631e-18
0.025,1,0.999523,2.8986e-17,4.24799e-18
0.026,1,0.999523,3.28617e-17,4.47555e-18
0.027,1,0.999523,-2.45691e-17,4.72917e-18
0.028,1,0.999523,-1.38637e-17,-6.4782e-18
0.029,1,0.999523,3.10991e-17,-5.53825e-18
0.03,1,0.999523,4.19582e-18,7.35542e-18
0.031,1,0.999523,-1.90816e-17,1.54837e-17
0.032,1,0.999523,-3.63462e-17,-4.18134e-20
0.033,1,0.999523,1.64717e-17,1.18289e-18
0.034,1,0.999523,1.01072e-17,2.23102e-18
0.035,1,0.999523,3.00426e-18,-9.18876e-19
