t,norm,energy,x_avg,y_avg
0,1,1.49855,0.706432,7.60169e-19
0.001,1,1.49855,0.706432,4.60081e-18
0.002,1,1.49855,0.706431,2.58562e-18
0.003,1,1.49855,0.706429,3.64962e-18
0.004,1,1.49855,0.706426,2.28067e-18
0.005,1,1.49855,0.706423,-6.9976e-18
0.006,1,1.49855,0.706419,6.01447e-18
0.007,1,1.49855,0.706415,-1.21863e-17
0.008,1,1.49855,0.70641,-4.93228e-18
0.009,1,1.49855,0.706404,4.48967e-18
0.01,1,1.49855,0.706397,7.25218e-18
0.011,1,1.49855,0.706389,-6.80074e-18
0.012,1,1.49855,0.706381,7.02011e-18
0.013,1,1.49855,0.706373,6.66965e-18
0.014,1,1.49855,0.706363,3.08873e-18
0.015,1,1.49855,0.706353,6.58112e-18
0.016,1,1.49855,0.706342,1.05009e-18
0.017,1,1.49855,0.70633,-7.28643e-18
0.018,1,1.49855,0.706318,-1.00506e-17
0.019,1,1.49855,0.706305,2.8621e-18
0.02,1,1.49855,0.706291,1.31427e-19
0.021,1,1.49855,0.706277,-6.65315e-18
0.022,1,1.49855,0.706262,2.18783e-18
0.023,1,1.49855,0.706246,-4.99539e-18
0.024,1,1.49855,0.706229,8.34555e-18
0.025,1,1.49855,0.706212,-8.63223e-18
0.026,1,1.49855,0.706194,-8.8701e-18
0.027,1,1.49855,0.706176,1.38655e-18
0.028,1,1.49855,0.706156,-1.0347e-17
0.029,1,1.49855,0.706136,-7.39817e-19
0.03,1,1.49855,0.706115,-6.3564e-18
0.031,1,1.49855,0.706094,-1.3909e-18
0.032,1,1.49855,0.706072,2.07656e-18
0.033,1,1.49855,0.706049,-9.39306e-18
0.034,1,1.49855,0.706025,1.29067e-18
0.035,1,1.49855,0.706001,3.14857e-18
0.036,1,1.49855,0.705976,5.66715e-18
0.037,1,1.49855,0.70595,-8.23591e-18
0.038,1,1.49855,0.705924,-3.18553e-18
0.039,1,1.49855,0.705897,1.21411e-18
0.04,1,1.49855,0.705869,-7.73524e-18
0.041,1,1.49855,0.705841,4.65637e-18
0.042,1,1.49855,0.705811,-4.73609e-18
0.043,1,1.49855,0.705782,-8.19073e-18
0.044,1,1.49855,0.705751,1.95344e-19
0.045,1,1.49855,0.70572,5.00399e-18
0.046,1,1.49855,0.705688,-1.98049e-18
0.047,1,1.49855,0.705655,7.05315e-18
0.048,1,1.49855,0.705622,8.53032e-18
0.049,1,1.49855,0.705587,5.65088e-19
0.05,1,1.49855,0.705553,-8.79689e-19
0.051,1,1.49855,0.705517,1.66567e-18
0.052,1,1.49855,0.705481,-1.20038e-18
0.053,1,1.49855,0.705444,-1.03232e-17
0.054,1,1.49855,0.705406,-1.45417e-18
0.055,1,1.49855,0.705368,5.09015e-18
0.056,1,1.49855,0.705329,3.38139e-18
0.057,1,1.49855,0.705289,-3.11531e-19
0.058,1,1.49855,0.705249,-8.57682e-18
0.059,1,1.49855,0.705208,9.39164e-19
0.06,1,1.49855,0.705166,1.21407e-18
0.061,1,1.49855,0.705123,-3.19605e-18
0.062,1,1.49855,0.70508,4.5383e-18
