t,norm,energy,x_avg,y_avg
0,1,1.49905,1.49073e-16,0.70609
0.001,1,1.49905,2.13403e-17,0.70609
0.002,1,1.49905,1.7968e-17,0.706089
0.003,1,1.49905,3.47814e-16,0.706087
0.004,1,1.49905,-1.94434e-16,0.706084
0.005,1,1.49905,-6.73784e-17,0.706081
0.006,1,1.49905,1.73352e-16,0.706077
0.007,1,1.49905,1.76157e-16,0.706073
0.008,1,1.49905,3.73248e-17,0.706067
0.009,1,1.49905,-2.19744e-17,0.706061
0.01,1,1.49905,5.15827e-17,0.706055
0.011,1,1.49905,-4.34265e-17,0.706047
0.012,1,1.49905,-1.91206e-16,0.706039
0.013,1,1.49905,-3.98902e-16,0.70603
0.014,1,1.49905,-7.72468e-17,0.706021
0.015,1,1.49905,-4.03099e-16,0.706011
0.016,1,1.49905,8.48707e-17,0.706
0.017,1,1.49905,-1.37191e-16,0.705988
0.018,1,1.49905,1.54997e-16,0.705976
0.019,1,1.49905,-2.0652e-16,0.705963
0.02,1,1.49905,-5.59937e-17,0.705949
0.021,1,1.49905,1.04387e-16,0.705935
0.022,1,1.49905,3.60435e-16,0.705919
0.023,1,1.49905,-1.57505e-16,0.705904
0.024,1,1.49905,9.68338e-17,0.705887
0.025,1,1.49905,-3.27611e-16,0.70587
0.026,1,1.49905,1.30465e-16,0.705852
0.027,1,1.49905,1.82394e-16,0.705833
0.028,1,1.49905,-2.32238e-17,0.705814
0.029,1,1.49905,1.5906e-16,0.705794
0.03,1,1.49905,-3.57878e-17,0.705773
0.031,1,1.49905,-1.06914e-16,0.705751
0.032,1,1.49905,-1.36433e-16,0.705729
0.033,1,1.49905,6.56159e-17,0.705706
0.034,1,1.49905,-1.71348e-16,0.705683
0.035,1,1.49905,-2.98424e-17,0.705658
0.036,1,1.49905,-1.40982e-16,0.705633
0.037,1,1.49905,-1.88251e-16,0.705608
0.038,1,1.49905,2.57676e-16,0.705581
0.039,1,1.49905,-9.66709e-17,0.705554
0.04,1,1.49905,-1.2271e-17,0.705526
0.041,1,1.49905,1.1344e-16,0.705498
0.042,1,1.49905,3.2461e-17,0.705468
0.043,1,1.49905,-8.0323e-17,0.705439
0.044,1,1.49905,3.73009e-16,0.705408
0.045,1,1.49905,-2.52815e-17,0.705377
0.046,1,1.49905,-2.52479e-16,0.705344
0.047,1,1.49905,-2.49922e-16,0.705312
0.048,1,1.49905,3.94715e-17,0.705278
0.049,1,1.49905,-2.00907e-16,0.705244
0.05,1,1.49905,3.0478e-16,0.705209
0.051,1,1.49905,1.8549e-16,0.705174
0.052,1,1.49905,4.60784e-17,0.705137
0.053,1,1.49905,2.31572e-17,0.7051
0.054,1,1.49905,1.52882e-16,0.705063
0.055,1,1.49905,-1.51006e-17,0.705024
0.056,1,1.49905,-1.80601e-16,0.704985
0.057,1,1.49905,-3.48664e-17,0.704945
0.058,1,1.49905,-3.06506e-17,0.704905
0.059,1,1.49905,1.655e-16,0.704864
0.06,1,1.49905,1.34986e-16,0.704822
0.061,1,1.49905,-3.57819e-16,0.704779
0.062,1,1.49905,-1.15056e-16,0.704736
0.063,1,1.49905,9.3534e-17,0.704692
0.064,1,1.49905,-5.87384e-17,0.704647
0.065,1,1.49905,3.66082e-18,0.704602
0.066,1,1.49905,1.01423e-16,0.704556
0.067,1,1.49905,-4.61765e-17,0.704509
0.068,1,1.49905,2.1041e-16,0.704461
0.069,1,1.49905,-2.90665e-16,0.704413
0.07,1,1.49905,-2.23335e-16,0.704364
0.071,1,1.49905,5.76748e-17,0.704314
0.072,1,1.49905,-2.84936e-16,0.704264
0.073,1,1.49905,-1.29232e-16,0.704213
0.074,1,1.49905,-1.14633e-16,0.704161
0.075,1,1.49905,-1.6409e-16,0.704109
0.076,1,1.49905,-2.31142e-16,0.704056
0.077,1,1.49905,5.84354e-17,0.704002
0.078,1,1.49905,6.04477e-17,0.703947
0.079,1,1.49905,-3.17662e-16,0.703892
0.08,1,1.49905,-2.34574e-16,0.703836
0.081,1,1.49905,-2.61872e-16,0.703779
0.082,1,1.49905,-4.29849e-16,0.703722
0.083,1,1.49905,4.89266e-17,0.703664
0.084,1,1.49905,-3.73665e-16,0.703605
0.085,1,1.49905,-1.1951e-16,0.703546
0.086,1,1.49905,-5.38753e-17,0.703485
0.087,1,1.49905,2.97687e-17,0.703425
0.088,1,1.49905,1.39899e-16,0.703363
0.089,1,1.49905,-2.16965e-16,0.703301
0.09,1,1.49905,4.887e-17,0.703238
0.091,1,1.49905,1.9356e-16,0.703174
0.092,1,1.49905,-1.21795e-16,0.70311
0.093,1,1.49905,1.22993e-17,0.703044
0.094,1,1.49905,4.53366e-17,0.702979
0.095,1,1.49905,3.16225e-17,0.702912
0.096,1,1.49905,-2.85374e-16,0.702845
0.097,1,1.49905,-5.21182e-17,0.702777
0.098,1,1.49905,-8.04112e-17,0.702708
0.099,1,1.49905,-1.45159e-16,0.702639
0.1,1,1.49905,4.44129e-18,0.702569
0.101,1,1.49905,2.10113e-16,0.702498
0.102,1,1.49905,2.93687e-16,0.702427
0.103,1,1.49905,-2.59844e-16,0.702355
0.104,1,1.49905,-1.37084e-16,0.702282
0.105,1,1.49905,-7.94763e-17,0.702209
0.106,1,1.49905,-1.69917e-16,0.702134
0.107,1,1.49905,-1.80659e-16,0.702059
0.108,1,1.49905,-5.76467e-17,0.701984
0.109,1,1.49905,-1.50821e-17,0.701908
0.11,1,1.49905,-1.73599e-16,0.70183
0.111,1,1.49905,-2.04152e-16,0.701753
0.112,1,1.49905,-2.39445e-16,0.701674
0.113,1,1.49905,8.97579e-17,0.701595
0.114,1,1.49905,-2.62972e-16,0.701515
0.115,1,1.49905,4.05316e-17,0.701435
0.116,1,1.49905,-1.38825e-16,0.701354
0.117,1,1.49905,-9.66882e-17,0.701272
0.118,1,1.49905,1.4874e-16,0.701189
0.119,1,1.49905,-3.43767e-16,0.701106
0.12,1,1.49905,-5.14196e-17,0.701022
0.121,1,1.49905,-6.81301e-17,0.700937
0.122,1,1.49905,-3.36286e-16,0.700852
0.123,1,1.49905,8.50991e-18,0.700766
0.124,1,1.49905,2.51939e-16,0.700679
0.125,1,1.49905,1.48372e-16,0.700591
0.126,1,1.49905,1.18515e-16,0.700503
0.127,1,1.49905,-9.13102e-17,0.700414
0.128,1,1.49905,2.31163e-16,0.700324
0.129,1,1.49905,3.78378e-17,0.700234
0.13,1,1.49905,-7.31982e-17,0.700143
0.131,1,1.49905,2.13747e-16,0.700051
0.132,1,1.49905,3.03168e-16,0.699959
0.133,1,1.49905,6.50105e-17,0.699866
0.134,1,1.49905,6.69546e-17,0.699772
0.135,1,1.49905,-1.89461e-16,0.699678
0.136,1,1.49905,3.27418e-16,0.699582
0.137,1,1.49905,2.10848e-16,0.699487
0.138,1,1.49905,3.06273e-16,0.69939
0.139,1,1.49905,3.20603e-16,0.699293
0.14,1,1.49905,1.37484e-16,0.699195
0.141,1,1.49905,-1.1999e-17,0.699096
0.142,1,1.49905,2.35423e-17,0.698997
0.143,1,1.49905,-2.24648e-16,0.698896
0.144,1,1.49905,-6.28242e-17,0.698796
0.145,1,1.49905,-4.75584e-17,0.698694
0.146,1,1.49905,9.32169e-17,0.698592
0.147,1,1.49905,3.47953e-16,0.698489
0.148,1,1.49905,-1.56414e-16,0.698386
0.149,1,1.49905,-1.2138e-16,0.698281
0.15,1,1.49905,-1.07432e-16,0.698176
0.151,1,1.49905,-2.1751e-16,0.698071
0.152,1,1.49905,-4.20532e-16,0.697964
0.153,1,1.49905,3.29259e-16,0.697857
0.154,1,1.49905,1.74495e-16,0.697749
0.155,1,1.49905,-1.0413e-16,0.697641
0.156,1,1.49905,-2.56313e-16,0.697532
0.157,1,1.49905,-3.26752e-16,0.697422
0.158,1,1.49905,1.07385e-16,0.697311
0.159,1,1.49905,9.46062e-17,0.6972
0.16,1,1.49905,-1.1347e-16,0.697088
0.161,1,1.49905,-1.34246e-16,0.696976
0.162,1,1.49905,-5.89376e-19,0.696862
0.163,1,1.49905,1.70993e-17,0.696748
0.164,1,1.49905,-2.30065e-16,0.696634
0.165,1,1.49905,8.78938e-17,0.696518
0.166,1,1.49905,-1.14495e-16,0.696402
0.167,1,1.49905,-2.98802e-16,0.696285
0.168,1,1.49905,-1.99797e-16,0.696168
0.169,1,1.49905,-1.5875e-16,0.69605
0.17,1,1.49905,-2.34772e-16,0.695931
0.171,1,1.49905,-2.28169e-16,0.695811
0.172,1,1.49905,-2.4422e-17,0.695691
0.173,1,1.49905,1.21724e-16,0.69557
0.174,1,1.49905,1.23772e-16,0.695448
0.175,1,1.49905,1.76064e-16,0.695326
0.176,1,1.49905,4.17723e-18,0.695203
0.177,1,1.49905,1.66812e-16,0.695079
0.178,1,1.49905,-1.40836e-16,0.694955
0.179,1,1.49905,1.8363e-16,0.69483
0.18,1,1.49905,1.07961e-16,0.694704
0.181,1,1.49905,1.43245e-16,0.694577
0.182,1,1.49905,-4.76021e-17,0.69445
0.183,1,1.49905,-3.24265e-17,0.694322
0.184,1,1.49905,-2.61457e-16,0.694193
0.185,1,1.49905,-1.92797e-17,0.694064
0.186,1,1.49905,-2.69926e-16,0.693934
0.187,1,1.49905,1.07921e-16,0.693804
0.188,1,1.49905,2.22723e-16,0.693672
0.189,1,1.49905,-1.46853e-18,0.69354
0.19,1,1.49905,-1.35985e-16,0.693407
0.191,1,1.49905,-1.93641e-16,0.693274
0.192,1,1.49905,8.17743e-17,0.69314
0.193,1,1.49905,2.61758e-17,0.693005
0.194,1,1.49905,-3.3381e-16,0.692869
0.195,1,1.49905,-2.48881e-17,0.692733
0.196,1,1.49905,-4.60567e-16,0.692596
0.197,1,1.49905,1.39145e-16,0.692459
0.198,1,1.49905,-1.57393e-16,0.69232
0.199,1,1.49905,9.47458e-18,0.692181
0.2,1,1.49905,-4.01294e-16,0.692042
0.201,1,1.49905,-1.45815e-16,0.691901
0.202,1,1.49905,3.39361e-16,0.69176
0.203,1,1.49905,1.97652e-16,0.691619
0.204,1,1.49905,-2.20951e-16,0.691476
0.205,1,1.49905,-3.97203e-16,0.691333
0.206,1,1.49905,1.41194e-16,0.691189
0.207,1,1.49905,-6.44635e-17,0.691045
0.208,1,1.49905,-1.21166e-16,0.6909
0.209,1,1.49905,9.68355e-17,0.690754
0.21,1,1.49905,-1.40878e-16,0.690607
0.211,1,1.49905,-4.59684e-17,0.69046
0.212,1,1.49905,1.33672e-16,0.690312
0.213,1,1.49905,2.3252e-16,0.690163
0.214,1,1.49905,-3.89685e-16,0.690014
0.215,1,1.49905,-1.26346e-16,0.689864
0.216,1,1.49905,1.26055e-16,0.689713
0.217,1,1.49905,8.88307e-17,0.689562
0.218,1,1.49905,8.27339e-17,0.68941
0.219,1,1.49905,6.22567e-17,0.689257
0.22,1,1.49905,2.0071e-16,0.689103
0.221,1,1.49905,6.41022e-17,0.688949
0.222,1,1.49905,-1.1939e-16,0.688795
0.223,1,1.49905,4.56858e-17,0.688639
0.224,1,1.49905,-2.41869e-16,0.688483
0.225,1,1.49905,4.55151e-18,0.688326
0.226,1,1.49905,-1.94002e-16,0.688168
0.227,1,1.49905,-2.23519e-16,0.68801
0.228,1,1.49905,7.86328e-18,0.687851
0.229,1,1.49905,1.07487e-16,0.687691
0.23,1,1.49905,1.91861e-16,0.687531
0.231,1,1.49905,-3.27617e-18,0.68737
0.232,1,1.49905,2.79166e-16,0.687208
0.233,1,1.49905,3.02032e-16,0.687046
0.234,1,1.49905,-1.95174e-16,0.686883
0.235,1,1.49905,-3.43084e-16,0.686719
0.236,1,1.49905,3.48903e-16,0.686555
0.237,1,1.49905,1.51607e-16,0.68639
0.238,1,1.49905,2.24203e-16,0.686224
0.239,1,1.49905,6.25477e-18,0.686057
0.24,1,1.49905,1.65101e-16,0.68589
0.241,1,1.49905,-1.98272e-16,0.685722
0.242,1,1.49905,-1.17091e-16,0.685554
0.243,1,1.49905,-3.64151e-16,0.685384
0.244,1,1.49905,-1.86507e-16,0.685215
0.245,1,1.49905,-1.09232e-16,0.685044
0.246,1,1.49905,-3.33919e-16,0.684873
0.247,1,1.49905,1.55288e-16,0.684701
0.248,1,1.49905,1.96514e-16,0.684528
0.249,1,1.49905,-2.27164e-16,0.684355
0.25,1,1.49905,1.18982e-16,0.684181
0.251,1,1.49905,-1.42137e-16,0.684006
0.252,1,1.49905,9.30094e-17,0.683831
0.253,1,1.49905,-1.79073e-16,0.683655
0.254,1,1.49905,1.824e-17,0.683478
0.255,1,1.49905,-2.10662e-17,0.6833
0.256,1,1.49905,-6.32589e-17,0.683122
0.257,1,1.49905,-1.26412e-16,0.682943
0.258,1,1.49905,4.52688e-17,0.682764
0.259,1,1.49905,-2.22912e-16,0.682584
0.26,1,1.49905,-8.16668e-17,0.682403
0.261,1,1.49905,-5.09911e-17,0.682221
0.262,1,1.49905,-1.26431e-16,0.682039
0.263,1,1.49905,1.84455e-16,0.681856
0.264,1,1.49905,1.68606e-16,0.681673
0.265,1,1.49905,1.09872e-16,0.681489
0.266,1,1.49905,1.87513e-16,0.681304
0.267,1,1.49905,-9.32614e-18,0.681118
0.268,1,1.49905,-6.54207e-17,0.680932
0.269,1,1.49905,-9.3443e-17,0.680745
0.27,1,1.49905,-2.62064e-16,0.680557
0.271,1,1.49905,1.19694e-16,0.680369
0.272,1,1.49905,-2.79725e-16,0.68018
0.273,1,1.49905,-1.25859e-16,0.67999
0.274,1,1.49905,1.44169e-16,0.6798
0.275,1,1.49905,-2.1172e-16,0.679609
0.276,1,1.49905,1.29914e-17,0.679417
0.277,1,1.49905,2.52742e-16,0.679225
0.278,1,1.49905,-1.35001e-17,0.679031
0.279,1,1.49905,6.24095e-18,0.678838
0.28,1,1.49905,-2.08413e-16,0.678643
0.281,1,1.49905,-8.7807e-17,0.678448
0.282,1,1.49905,2.20558e-16,0.678252
0.283,1,1.49905,-2.20703e-17,0.678056
0.284,1,1.49905,-1.90727e-16,0.677859
0.285,1,1.49905,2.5997e-16,0.677661
0.286,1,1.49905,-8.71299e-17,0.677463
