t,norm,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,leakage_above_first_excited
0,0.999999999999999,0.999999999999999,4.12908685447534e-34,1.05878356738497e-32,5.49104494396251e-34,5.17318519415922e-31,6.49538725653853e-33,2.01224822678302e-32,1.72318893953873e-31,1.96945916410307e-32,3.08219941686352e-31,1.11022302462516e-15
0.25,0.999496322897095,0.999493351854088,1.46969524503758e-06,1.48518442317389e-06,2.56457628523126e-31,6.51375757488627e-12,4.58596191284141e-12,2.56261301320013e-31,7.39521187090775e-31,7.45853508069064e-09,8.10202030241585e-09,0.000503693266243221
0.5,0.998944872199963,0.998897991346894,2.32062112628136e-05,2.34507824698929e-05,1.00135748267338e-30,6.21600463375675e-10,4.37633120154667e-10,9.30613959996269e-31,2.30227134291566e-30,1.0418496022875e-07,1.13173519176026e-07,0.0010553516593732
0.75,0.998351100475509,0.998117347992537,0.000115793470590748,0.000117013822700514,2.25439419595635e-30,1.18735697483793e-08,8.3594972699157e-09,1.80054346318857e-30,4.21908481930947e-30,4.37150280202951e-07,4.74865426936206e-07,0.00164984471417196
1,0.997721983030121,0.996997498206178,0.000359145309015771,0.000362930356077008,3.69973056858055e-30,1.01112959856497e-07,7.11878171259018e-08,2.65120557087108e-30,6.17645001067128e-30,1.06381115259982e-06,1.1555914751432e-06,0.00228042612872914
1.25,0.997065871649756,0.995339414227883,0.000856326801687328,0.000865351664779838,5.28277296727178e-30,5.31671030463437e-07,3.74318980885791e-07,3.28823273369784e-30,7.15174617014061e-30,1.84338743446857e-06,2.00242571198142e-06,0.00293890730565027
1.5,0.996392278326483,0.992914622587615,0.00172538777303569,0.0017435717051542,6.68749811792512e-30,2.03115832780422e-06,1.43002170838413e-06,3.42388288152522e-30,7.22841362444221e-30,2.48477972985323e-06,2.69915413690739e-06,0.00361641793419476
1.75,0.995711595764728,0.989483454337547,0.00308962866218304,0.00312219038467959,7.89778596644532e-30,6.18205263346328e-06,4.35242755191e-06,3.09544098497132e-30,6.35621274841411e-30,2.73703196725649e-06,2.97316943973382e-06,0.00430472661559067
2,0.995034767793929,0.98481501771373,0.00506690041048515,0.00512030068058988,8.73570075390726e-30,1.58686297614148e-05,1.11721891545827e-05,2.38875162183698e-30,4.72965760360828e-30,2.5928923319018e-06,2.81659415525901e-06,0.00499778119519501
2.25,0.994372918642703,0.978707927603043,0.00775870832976329,0.00784047767332803,9.1503776951375e-30,3.56590550319384e-05,2.51054888720873e-05,1.46120210740579e-30,2.8141980015251e-30,2.34957857829737e-06,2.55228850405055e-06,0.00569288639386567
2.5,0.99373694759096,0.971010501770465,0.0112400083770347,0.0113584672837997,9.16384057746592e-30,7.19540918280501e-05,5.0658735910757e-05,6.28721095676364e-31,1.20261222051937e-30,2.46064531741192e-06,2.67293752768451e-06,0.00639102256870094
2.75,0.993137109313238,0.961638703033043,0.0155506112788129,0.0157144998053891,8.9405267250823e-30,0.000132708898381013,9.34326994517069e-05,1.68991208255589e-31,4.21917395234255e-31,3.2620352251709e-06,3.54346736130051e-06,0.00709618588275518
3,0.992582617945506,0.950590044240512,0.0206890072025339,0.0209070494933452,8.23196185221386e-30,0.000226570481281996,0.000159515239298202,2.64654401606138e-31,4.61516650716978e-31,4.75820545380616e-06,5.16871969800378e-06,0.00781389906360874
3.25,0.992081311609054,0.93795212773466,0.026609181743605,0.0268896169953883,7.4372346441929e-30,0.000361402932957072,0.000254443010437727,8.5720015896714e-31,1.45692521843973e-30,6.63084450047144e-06,7.20292070544679e-06,0.00854907352634715
3.5,0.99163940164784,0.92390509885207,0.0332206460223422,0.0335707597658404,6.802889848206e-30,0.000542382073037725,0.000381860009662842,1.82197939479781e-30,2.97301751415083e-30,8.48864725386798e-06,9.22100541820635e-06,0.00930349535974773
3.75,0.99126132513716,0.90871789541923,0.0403915161521745,0.0408172039884706,5.84221897401984e-30,0.000770067966903799,0.000542160546782055,2.94562928859761e-30,4.67423488115626e-30,1.02023949206937e-05,1.10826066897219e-05,0.0100733844401247
4,0.990949711242136,0.892738852257705,0.047954142654799,0.0484595333202854,4.77365778494999e-30,0.00103900329834061,0.000731502439455526,3.79641758811208e-30,6.10591596121654e-30,1.20845885021842e-05,1.31271865496206e-05,0.0108474717672108
4.25,0.99070545686205,0.876381663055879,0.0557126072518113,0.0562997646921532,3.72387951032019e-30,0.00133732431456901,0.000941533101976442,4.09244329789949e-30,6.41537578336141e-30,1.47490839811489e-05,1.60215614144874e-05,0.0116059650001562
4.5,0.990527899741442,0.860107606128284,0.0634514178959189,0.0641201349773048,2.70483295351873e-30,0.00164759142590063,0.00115997432269667,3.96422439658029e-30,5.93200365325096e-30,1.8691843790875e-05,2.03044828836984e-05,0.0123208409984926
4.75,0.990415078186697,0.8444046731567,0.0709448870815705,0.0716925781403623,1.61632599699491e-30,0.00194868509676538,0.00137195705181207,3.21251368635388e-30,4.4918091366218e-30,2.38387904374111e-05,2.58954824264432e-05,0.0129578616213671
5,0.990364061474845,0.829764323781347,0.0779668529469317,0.0787885487904042,7.38866016007142e-31,0.00221835213956802,0.00156181410035649,2.22699972393691e-30,2.85245199968111e-30,2.93643090218894e-05,3.18977152065409e-05,0.0134802744813172
5.25,0.990371322651634,0.816656969060173,0.0843005031977637,0.0851889496395789,2.51206231753105e-31,0.00243590805851697,0.00171498270500221,1.17714770202216e-30,1.32628081290954e-30,3.39399021071698e-05,3.68680676512898e-05,0.0138535781024846
5.5,0.990433116293757,0.805507580855605,0.0897480690073274,0.0906939275674155,1.97305285451963e-31,0.00258466754227645,0.00181971569808894,3.62290903341311e-31,3.77419751883968e-31,3.63107748761663e-05,3.94434875026505e-05,0.0140504225696525
