t,norm,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,leakage_above_first_excited
0,0.999999999999999,0.999999999999999,4.12908685447534e-34,1.05878356738497e-32,5.49104494396251e-34,5.17318519415922e-31,6.49538725653853e-33,2.01224822678302e-32,1.72318893953873e-31,1.96945916410307e-32,3.08219941686352e-31,1.11022302462516e-15
0.25,0.998944685773989,0.998932893891077,5.83314950250366e-06,5.8946253030444e-06,2.87063591503494e-31,1.0253473185359e-10,7.21888049734653e-11,2.71955989565926e-31,7.78142500953013e-31,2.95219306008975e-08,3.20689355895388e-08,0.00105537833411706
0.5,0.997718935429512,0.997534961732175,9.10643258763697e-05,9.20240565212897e-05,1.09408513519256e-30,9.53230532534808e-09,6.71114770296908e-09,9.1963199267553e-31,2.31115212976365e-30,4.06309277493824e-07,4.4136361627333e-07,0.00228194988542729
0.75,0.996377027220975,0.995475665576253,0.00044641569537458,0.000451120488597406,2.34784679776265e-30,1.75537938134046e-07,1.23586162013951e-07,1.79717494926914e-30,4.24880728373938e-30,1.66537753923652e-06,1.80905801046882e-06,0.00362679823977508
1,0.994988615012086,0.99226096745943,0.00135137222479848,0.00136561439179803,3.7925304719228e-30,1.42419089161648e-06,1.00269086068456e-06,2.74015216969748e-30,6.09493169782436e-30,3.90939943566664e-06,4.24668292839947e-06,0.00502204592397293
1.25,0.99363258077391,0.987327302878348,0.00312342698220825,0.00315634490657817,5.21273173174324e-30,7.04600003776451e-06,4.96068320885982e-06,3.38647266961115e-30,7.38070930727618e-30,6.40416859459865e-06,6.9566883325236e-06,0.00639292523286528
1.5,0.992389518074289,0.980150727155104,0.0060578228252724,0.00612166646712625,6.46855698254474e-30,2.49972928159924e-05,1.75991555598409e-05,3.57706465424972e-30,7.36340988001133e-30,7.88032163375741e-06,8.5601964964407e-06,0.00766978355249714
1.75,0.991333795836556,0.970355074695741,0.0103674073561145,0.0104766698851266,7.28117283733143e-30,6.96924641303346e-05,4.90664539799183e-05,3.19461867908153e-30,6.28660328167398e-30,7.42485894127094e-06,8.06543875358748e-06,0.00880084806301806
2,0.990526230958187,0.957802437243495,0.016133442205975,0.0163034732114661,7.66336891193613e-30,0.000161544934283343,0.000113734493142314,2.49490552997218e-30,4.64794627894675e-30,5.32926606412684e-06,5.78904857072357e-06,0.00976064733906368
2.25,0.99000828921704,0.942651337195145,0.0232769864799093,0.0235223035898883,7.80181549505718e-30,0.00032298131079814,0.000227392557006067,1.52427618961583e-30,2.70654868601458e-30,3.19782182852103e-06,3.47371395292908e-06,0.0105493727350577
2.5,0.989798527241439,0.925372279876912,0.0315566128794266,0.0318891893097557,7.50431991155279e-30,0.000571014193760928,0.000402018238408863,6.85916245120786e-31,1.1812341064338e-30,3.11085941444578e-06,3.37924885532357e-06,0.0111819179339061
2.75,0.989891737595267,0.906716564606858,0.0405925615310923,0.0410203681928373,7.1157837974383e-30,0.000908236352989208,0.00063943695739458,2.86141343153107e-31,4.89266183683322e-31,6.33137321019104e-06,6.87761252527565e-06,0.0116705056692122
3,0.990260910652213,0.887641925843197,0.0499117094786788,0.0504377310207711,6.7628330672769e-30,0.00131563107626114,0.000926260141084844,4.62250356666321e-31,8.70711281439285e-31,1.24042949076493e-05,1.34744756298285e-05,0.0120086336573533
3.25,0.990861678596774,0.869205885300506,0.059003947641787,0.0596257926527523,6.29966032806921e-30,0.0017510522792925,0.00123281515656631,1.22936654437724e-30,2.25382776393366e-30,1.92545780693875e-05,2.09157670702108e-05,0.0121643744049545
3.5,0.991638492837454,0.852441923983009,0.067380052543667,0.0680901736658542,5.89914883931874e-30,0.00215593407810502,0.00151786913473511,2.5478056509747e-30,4.27711747781707e-30,2.42334294548371e-05,2.63241689307968e-05,0.0120878498074696
3.75,0.992531506959604,0.838233998735756,0.0746237772539734,0.0754102402863539,5.21772225381348e-30,0.0024698347387783,0.00173886852847709,4.06065905531961e-30,6.32603260366871e-30,2.54617782203702e-05,2.76584935038054e-05,0.0117319837239163
4,0.993483036578482,0.827202897955357,0.0804350519266935,0.0812827602198913,4.05738932206292e-30,0.00264887850687046,0.00186492294364389,5.07238388370377e-30,8.01856167234972e-30,2.26802477294962e-05,2.46369864296871e-05,0.0110792898980587
4.25,0.994442628786999,0.819614800670051,0.0846645616588058,0.0855568449275919,3.0329412130565e-30,0.00268172249266709,0.00188804650424281,5.65068228244699e-30,8.68488793838674e-30,1.7198258829024e-05,1.86820388577093e-05,0.0101637927435515
4.5,0.995370169262422,0.815319502686262,0.0873406425567606,0.0882611291512877,2.11531612742333e-30,0.00259692275312415,0.00182834388689796,5.3627156315592e-30,8.61784309305571e-30,1.11223214088329e-05,1.20818998489011e-05,0.00907872560568945
4.75,0.996236904047131,0.813724720017585,0.0886869676733289,0.0896216432431759,1.11741604203125e-30,0.00245888984801291,0.00173116286064399,4.69559674303464e-30,7.49937452608993e-30,6.39900808551678e-06,6.95108260044671e-06,0.00796666906590981
5,0.997024645469638,0.81381357370589,0.0891254163674736,0.0900647127659925,4.46416773825258e-31,0.00235454539428808,0.00165769993462126,3.38932259373339e-30,5.93044681576851e-30,4.14605129927575e-06,4.50375193495634e-06,0.00699629716064343
5.25,0.997723752529942,0.814212181069259,0.0892557671641338,0.0901964373350158,5.59958610522942e-32,0.00237672310900624,0.00167331398747729,2.01302166515933e-30,4.26099637873507e-30,4.44197737853302e-06,4.82520904097093e-06,0.00633561443159125
5.5,0.998330657058296,0.813310464020656,0.0898052474101113,0.0907517085757189,3.21437352111646e-32,0.00261114708713986,0.00183835842202864,9.56112648610046e-31,2.92349260242931e-30,6.50676838129604e-06,7.06813991729539e-06,0.00613257999351424
5.75,0.99884564717,0.809431102485565,0.0915475329376506,0.0925123561215006,3.08830490843121e-31,0.00313092403839913,0.00220430346611672,4.39893623331763e-31,2.34156147967518e-30,9.16894441755252e-06,9.95999522949987e-06,0.00650900845528402
6,0.999271369927862,0.801030212637658,0.0952008205444446,0.0962041458753999,8.83557497644109e-31,0.00399728075425795,0.00281425538070789,5.72169856480052e-31,2.47884037916426e-30,1.1566638365541e-05,1.25645502574548e-05,0.00756482094249744
6.25,0.999612228794599,0.786901971093501,0.101324077920409,0.102391936510617,1.59793264431633e-30,0.00526055218789529,0.00370365211012736,1.20597743541013e-30,3.16163661716447e-30,1.39742568696777e-05,1.51798860827831e-05,0.00938201447547204
6.5,0.999874516607858,0.766353177039525,0.110234799825655,0.111396568877491,2.45456696152125e-30,0.00695408957350623,0.00489597433938497,2.16584829118284e-30,4.45531487527464e-30,1.84154583777814e-05,2.00042523150954e-05,0.0120154542573284
