omega,average_energy
1.5,4.6914961585326e-09
1.55,4.76231898811257e-09
1.6,4.85340783041694e-09
1.65,4.89353019847133e-09
1.7,4.92214216775462e-09
1.75,4.98589617850059e-09
1.8,5.04579430336648e-09
1.85,5.08991510881614e-09
1.9,5.17137311133169e-09
1.95,5.28035901515611e-09
2,5.35032104191832e-09
2.05,5.39598319652852e-09
2.1,5.48152647385573e-09
2.15,5.59315262274068e-09
2.2,5.68869734998463e-09
2.25,5.79328621581148e-09
2.3,5.92671930904346e-09
2.35,6.04525824535051e-09
2.4,6.14119720131307e-09
2.45,6.27303689808877e-09
2.5,6.44934347668647e-09
2.55,6.61746703203239e-09
2.6,6.7754511779966e-09
2.65,6.96206800976716e-09
2.7,7.16486048714437e-09
2.75,7.36039532612218e-09
2.8,7.5853142014575e-09
2.85,7.86467765500806e-09
2.9,8.15499543015614e-09
2.95,8.43450254436939e-09
3,8.74710858430428e-09
3.05,9.11145284823047e-09
3.1,9.49959286470775e-09
3.15,9.92004661846315e-09
3.2,1.04071347057051e-08
3.25,1.09435671751139e-08
3.3,1.15013882121314e-08
3.35,1.2117471448055e-08
3.4,1.28358028995877e-08
3.45,1.36404494293551e-08
3.5,1.45184644584378e-08
3.55,1.55062087127253e-08
3.6,1.66236371404601e-08
3.65,1.78563930224254e-08
3.7,1.92288730959587e-08
3.75,2.07990460591062e-08
3.8,2.25791737196874e-08
3.85,2.45518059561255e-08
3.9,2.67404404644443e-08
3.95,2.91805360949582e-08
4,3.18582474904423e-08
4.05,3.47386474166114e-08
4.1,3.7791481152518e-08
4.15,4.09333244803287e-08
4.2,4.40021774684742e-08
4.25,4.68139444253064e-08
4.3,4.91829043490812e-08
4.35,5.08981993299055e-08
4.4,5.17703998475117e-08
4.45,5.17131063759702e-08
4.5,5.07436487521301e-08
4.55,4.89505882604538e-08
4.6,4.65076129760075e-08
4.65,4.36559440202381e-08
4.7,4.06128160765465e-08
4.75,3.75265477520891e-08
4.8,3.45178728400604e-08
4.85,3.16894167438708e-08
4.9,2.90859582802159e-08
4.95,2.67097330250316e-08
5,2.45713791426393e-08
5.05,2.26773303366178e-08
5.1,2.09965063580768e-08
5.15,1.94913513304614e-08
5.2,1.81527852166406e-08
5.25,1.69728037917525e-08
5.3,1.59240975765949e-08
5.35,1.49887148854541e-08
5.4,1.41643218682232e-08
5.45,1.34345253690611e-08
5.5,1.27746099038127e-08
5.55,1.21811737506992e-08
5.6,1.16589139345391e-08
5.65,1.11946315206754e-08
5.7,1.07738798715116e-08
5.75,1.03978620784499e-08
5.8,1.00634024570284e-08
5.85,9.75685028864082e-09
5.9,9.4775002741273e-09
5.95,9.23431608589097e-09
6,9.02050366632589e-09
6.05,8.82248597014027e-09
6.1,8.64264703685217e-09
6.15,8.4862288152776e-09
6.2,8.34559591007043e-09
6.25,8.21764260616144e-09
6.3,8.11060730627867e-09
6.35,8.02184000392482e-09
6.4,7.93830179302929e-09
6.45,7.86145692119126e-09
6.5,7.80178112025871e-09
6.55,7.75575774500151e-09
6.6,7.71580911435321e-09
6.65,7.68715994768931e-09
6.7,7.6721583251567e-09
6.75,7.66067779537964e-09
6.8,7.65186069209674e-09
6.85,7.65793312418591e-09
6.9,7.67906201644322e-09
6.95,7.70394653765778e-09
7,7.7335801458704e-09
7.05,7.77536074742515e-09
7.1,7.82430079005327e-09
7.15,7.87619491810741e-09
7.2,7.94101564170465e-09
7.25,8.02246965892844e-09
7.3,8.10867278466599e-09
7.35,8.19655290402073e-09
7.4,8.29717149552597e-09
7.45,8.4119828270745e-09
7.5,8.53379666533173e-09
7.55,8.66725032158499e-09
7.6,8.81921731563229e-09
7.65,8.98132478223542e-09
7.7,9.14759971924968e-09
7.75,9.32976552140255e-09
7.8,9.53530146949876e-09
7.85,9.75584018080579e-09
7.9,9.98953384764113e-09
7.95,1.02456024225725e-08
8,1.05229556628489e-08
8.05,1.08150880906717e-08
8.1,1.11313673830087e-08
8.15,1.1484044664719e-08
8.2,1.18672848315791e-08
8.25,1.22746637005533e-08
8.3,1.27169156486057e-08
8.35,1.32027072828403e-08
8.4,1.37284138762194e-08
8.45,1.4299410739541e-08
8.5,1.49312733034685e-08
8.55,1.56258007110143e-08
8.6,1.63774680187821e-08
8.65,1.71992631655283e-08
8.7,1.81121718877674e-08
8.75,1.91223890849604e-08
8.8,2.02357128382572e-08
8.85,2.14738273943437e-08
8.9,2.28552750478333e-08
8.95,2.43873412091553e-08
9,2.60913398932554e-08
9.05,2.80056681207736e-08
