t,energy,center,max_abs_u
0,0,0,0
0.00625,0,0,0
0.0125,1.4704966722051e-12,7.66941111743293e-07,7.66941111743293e-07
0.01875,7.65885802870201e-12,2.29573428288352e-06,2.29573428288352e-06
0.025,1.73384157558581e-11,4.01061425938099e-06,4.01061425938099e-06
0.03125,3.0324818819996e-11,5.53344090668291e-06,5.53344090668291e-06
0.0375,4.7597001655393e-11,6.97382999415601e-06,6.97382999415601e-06
0.04375,6.99879682053707e-11,8.56632691049312e-06,8.56632691049312e-06
0.05,9.77570844114733e-11,1.03454323286121e-05,1.03454323286121e-05
0.05625,1.30932143246185e-10,1.22218289760469e-05,1.22218289760469e-05
0.0625,1.68926995293342e-10,1.41403247958599e-05,1.41403247958599e-05
0.06875,2.11966340641117e-10,1.60650605774413e-05,1.60650605774413e-05
0.075,2.60467517126647e-10,1.79557136134183e-05,1.79557136134183e-05
0.08125,3.14510689382876e-10,1.98413239568863e-05,1.98413239568863e-05
0.0875,3.74102117363732e-10,2.18167198701565e-05,2.18167198701565e-05
0.09375,4.39357593663993e-10,2.39065787579627e-05,2.39065787579627e-05
0.1,5.0990277201229e-10,2.60170846869469e-05,2.60170846869469e-05
0.10625,5.85654316968962e-10,2.80669076930881e-05,2.80669076930881e-05
0.1125,6.66786404811823e-10,3.00868870718941e-05,3.00868870718941e-05
0.11875,7.53413387856145e-10,3.2147996025264e-05,3.2147996025264e-05
0.125,8.45459925057814e-10,3.42632707624212e-05,3.42632707624212e-05
0.13125,9.4278696245068e-10,3.64041633074101e-05,3.64041633074101e-05
0.1375,1.04506499688796e-09,3.85515676196129e-05,3.85515676196129e-05
0.14375,1.15228985331066e-09,4.06888986264219e-05,4.06888986264219e-05
0.15,1.26450700174347e-09,4.27964591925816e-05,4.27964591925816e-05
0.15625,1.38160104199603e-09,4.4889240878991e-05,4.4889240878991e-05
0.1625,1.50343129517701e-09,4.70154856538233e-05,4.70154856538233e-05
0.16875,1.62991711434882e-09,4.91872636826773e-05,4.91872636826773e-05
0.175,1.76074344071703e-09,5.13543230505797e-05,5.13543230505797e-05
0.18125,1.89574222997667e-09,5.34733053133569e-05,5.34733053133569e-05
0.1875,2.0348639302332e-09,5.55622198621614e-05,5.55622198621614e-05
0.19375,2.17802177829477e-09,5.76609315848288e-05,5.76609315848288e-05
0.2,2.32503252079411e-09,5.97763026159534e-05,5.97763026159534e-05
0.20625,2.47568094310385e-09,6.18917801576347e-05,6.18917801576347e-05
0.2125,2.62964734467661e-09,6.39961896683541e-05,6.39961896683541e-05
0.21875,2.78680277246094e-09,6.60786682979521e-05,6.60786682979521e-05
0.225,2.9470361516125e-09,6.8126429044908e-05,6.8126429044908e-05
0.23125,3.11013416681461e-09,7.0149627343378e-05,7.0149627343378e-05
0.2375,3.27587626915769e-09,7.2179717200654e-05,7.2179717200654e-05
0.24375,3.44408756061516e-09,7.42237083074977e-05,7.42237083074977e-05
0.25,3.61445196218232e-09,7.62476125055366e-05,7.62476125055366e-05
0.25625,3.78674342295212e-09,7.82229068985505e-05,7.82229068985505e-05
0.2625,3.96080066689989e-09,8.01623875944496e-05,8.01623875944496e-05
0.26875,4.13643955199598e-09,8.20929006825373e-05,8.20929006825373e-05
0.275,4.31342546026752e-09,8.4018558383668e-05,8.4018558383668e-05
0.28125,4.49150799230399e-09,8.59278979644291e-05,8.59278979644291e-05
0.2875,4.67036945446596e-09,8.78132116884024e-05,8.78132116884024e-05
0.29375,4.84982145357171e-09,8.96664520464251e-05,8.96664520464251e-05
0.3,5.02968246486776e-09,9.14783531332977e-05,9.14783531332977e-05
0.30625,5.20970003778214e-09,9.32566781119769e-05,9.32566781119769e-05
0.3125,5.3896263981436e-09,9.50243176705041e-05,9.50243176705041e-05
0.31875,5.56925598219045e-09,9.67856751995954e-05,9.67856751995954e-05
0.325,5.74829174979005e-09,9.85153399044843e-05,9.85153399044843e-05
0.33125,5.92649661563976e-09,0.00010019272075859,0.00010019272075859
0.3375,6.10367116290745e-09,0.000101827828174534,0.000101827828174534
0.34375,6.27960453465638e-09,0.000103440447188067,0.000103440447188067
0.35,6.45406477180522e-09,0.000105033231656873,0.000105033231656873
0.35625,6.62681533529127e-09,0.000106597591066657,0.000106597591066657
0.3625,6.79757360584828e-09,0.000108127809569695,0.000108127809569695
0.36875,6.96615204313695e-09,0.000109617577145159,0.000109617577145159
0.375,7.1323661082021e-09,0.000111059819713292,0.000111059819713292
0.38125,7.29598076301698e-09,0.000112460924609363,0.000112460924609363
0.3875,7.45677479454826e-09,0.000113838657086507,0.000113838657086507
0.39375,7.61456956310901e-09,0.000115195917417831,0.000115195917417831
0.4,7.76912600295896e-09,0.000116512658832767,0.000116512658832767
0.40625,7.92024659541369e-09,0.000117773261333656,0.000117773261333656
0.4125,8.06775598740373e-09,0.0001189860423802,0.0001189860423802
0.41875,8.21147668177638e-09,0.00012016642717351,0.00012016642717351
0.425,8.35123047843574e-09,0.000121316242168075,0.000121316242168075
0.43125,8.48684265292501e-09,0.000122428794426692,0.000122428794426692
0.4375,8.6181058935109e-09,0.000123499706435997,0.000123499706435997
0.44375,8.74488629362821e-09,0.000124523896597802,0.000124523896597802
