t,min_u,max_u,mass,center_x,center_y,shape_error
0,1.3887943864964e-11,0.960789439152324,1.57079393714646,2.5,2.5,0
0.02,2.99419924523343e-11,0.945701265160617,1.57079393714646,2.5,2.5,0.0115149011427356
0.04,5.20349057512747e-11,0.931096822232874,1.57079393714646,2.5,2.5,0.022744211667746
0.06,8.15080109506335e-11,0.916952385181588,1.57079393714646,2.5,2.5,0.0336992884154265
0.08,1.20491964065663e-10,0.90324580946863,1.57079393714646,2.5,2.5,0.0443908512561855
0.1,1.71835634992644e-10,0.889956397278682,1.57079393714646,2.5,2.5,0.0548290298164944
0.12,2.39182398164665e-10,0.877064777422621,1.57079393714646,2.5,2.5,0.0650234059429152
0.14,3.2712151399134e-10,0.864552797382707,1.57079393714646,2.5,2.5,0.0749830523705534
0.16,4.41391555145767e-10,0.852403426048998,1.57079393714646,2.5,2.5,0.0847165680026244
0.18,5.8913058351997e-10,0.840600665896429,1.57079393714646,2.5,2.5,0.0942321101569116
0.2,7.79174635313541e-10,0.829129473520909,1.57079393714646,2.5,2.5,0.10353742409132
0.22,1.02240894928639e-09,0.817975687595797,1.57079393714646,2.5,2.5,0.112639870083258
0.24,1.33217770719364e-09,0.807125963431737,1.57079393714646,2.5,2.5,0.121546448305258
0.26,1.72475873539843e-09,0.796567713426557,1.57079393714646,2.5,2.5,0.130263821711266
0.28,2.21990997909033e-09,0.786289052780761,1.57079393714646,2.5,2.5,0.138798337123733
0.3,2.8414947342152e-09,0.776278749930397,1.57079393714646,2.5,2.5,0.147156044690488
0.32,3.61819265509143e-09,0.766526181214863,1.57079393714646,2.5,2.5,0.155342715861916
0.34,4.58430346380933e-09,0.757021289353966,1.57079393714646,2.5,2.5,0.163363860022776
0.36,5.78065007491113e-09,0.747754545357846,1.57079393714646,2.5,2.5,0.171224739898833
0.38,7.25558751593146e-09,0.738716913536129,1.57079393714646,2.5,2.5,0.178930385845981
0.4,9.0661235715907e-09,0.729899819309988,1.57079393714646,2.5,2.5,0.186485609118542
0.42,1.12791565088807e-08,0.721295119563373,1.57079393714646,2.5,2.5,0.193895014203697
0.44,1.39728345563626e-08,0.712895075298177,1.57079393714646,2.5,2.5,0.201163010300407
0.46,1.72380410205891e-08,0.704692326383183,1.57079393714646,2.5,2.5,0.208293822013542
0.48,2.11800080349274e-08,0.696679868208612,1.57079393714646,2.5,2.5,0.215291499327133
0.5,2.59200609626127e-08,0.688851030077587,1.57079393714646,2.5,2.5,0.222159926914652
0.52,3.15974944298465e-08,0.681199455182896,1.57079393714646,2.5,2.5,0.228902832838765
0.54,3.83715798608857e-08,0.673719082032698,1.57079393714646,2.5,2.5,0.235523796688262
0.56,4.64237032410913e-08,0.666404127202244,1.57079393714646,2.5,2.5,0.24202625719547
0.58,5.59596306622293e-08,0.659249069300649,1.57079393714646,2.5,2.5,0.248413519373631
0.6,6.72118980235778e-08,0.652248634052428,1.57079393714646,2.5,2.5,0.25468876121024
0.62,8.04423200890816e-08,0.645397780402996,1.57079393714646,2.5,2.5,0.260855039949181
0.64,9.59446129509237e-08,0.638691687565781,1.57079393714646,2.5,2.5,0.266915297991712
